DATE,ORG_CODE,TOTAL,MEET_TARGET,AE_SCORE
Q42017,RW6,"93,751","76,671",81.8
Q42017,RT2,"10,326","10,325",100.0
Q42017,AC008,"2,736","2,736",100.0
Q42017,RQ6,"58,622","50,990",87.0
Q42017,RM3,"25,777","20,652",80.1
Q42017,AXT02,"11,515","11,515",100.0
Q42017,RCU,"13,980","13,536",96.8
Q42017,RHQ,"52,616","43,279",82.3
Q42017,NQT5F,"5,682","5,626",99.0
Q42017,RTR,"35,150","32,860",93.5
Q42017,RE9,"16,777","15,097",90.0
Q42017,RXG,0,0,
Q42017,RVY,"29,095","23,351",80.3
Q42017,RBN,"34,669","26,598",76.7
Q42017,RWJ,"23,355","16,364",70.1
Q42017,RMP,"35,805","30,315",84.7
Q42017,RBV,0,0,
Q42017,RTD,"50,521","46,330",91.7
Q42017,RFR,"23,295","19,999",85.9
Q42017,RET,0,0,
Q42017,NNF76,"10,516","10,516",100.0
Q42017,RTX,"26,376","20,903",79.3
Q42017,RWW,"27,219","21,956",80.7
Q42017,RY7,"11,930","11,880",99.6
Q42017,RBL,"30,838","23,742",77.0
Q42017,NNF18,492,491,99.8
Q42017,AJN,"1,141","1,141",100.0
Q42017,RRF,"21,195","14,936",70.5
Q42017,RCB,"44,276","36,066",81.5
Q42017,RTK,"25,180","20,008",79.5
Q42017,NTV0B,"11,275","11,270",100.0
Q42017,NQT10,"11,767","11,709",99.5
Q42017,RWX,"5,083","5,083",100.0
Q42017,Y04538,"9,726","9,726",100.0
Q42017,RXH,"39,614","31,755",80.2
Q42017,Y02676,"5,302","5,284",99.7
Q42017,NLW,"13,859","13,818",99.7
Q42017,RXQ,"35,779","30,526",85.3
Q42017,NLT02,"2,430","2,430",100.0
Q42017,RJ8,0,0,
Q42017,RN7,"31,171","25,754",82.6
Q42017,RBD,"21,554","20,707",96.1
Q42017,RDY,0,0,
Q42017,Y00751,"12,504","12,491",99.9
Q42017,RVV,"50,152","36,500",72.8
Q42017,RXC,"28,679","24,741",86.3
Q42017,Y02816,"4,356","4,354",100.0
Q42017,DD401,"2,645","2,643",99.9
Q42017,NDJ,"1,148","1,148",100.0
Q42017,RDU,"58,180","48,794",83.9
Q42017,R1J,"15,877","15,764",99.3
Q42017,RTE,"34,863","30,810",88.4
Q42017,RN3,"40,521","34,905",86.1
Q42017,RN5,"29,409","23,903",81.3
Q42017,NDA57,"1,816","1,802",99.2
Q42017,Y03051,"5,728","5,728",100.0
Q42017,R1F,"11,997","9,652",80.5
Q42017,RYY,"17,011","16,970",99.8
Q42017,RWF,"41,382","36,437",88.1
Q42017,RPA,"30,005","22,944",76.5
Q42017,RVJ,"20,877","15,219",72.9
Q42017,RBZ,"20,882","17,899",85.7
Q42017,L83087,309,309,100.0
Q42017,RNU,"7,322","7,126",97.3
Q42017,RTH,"37,996","30,786",81.0
Q42017,NQT5H,"1,872","1,868",99.8
Q42017,RK9,"35,162","27,434",78.0
Q42017,RD3,"19,834","17,195",86.7
Q42017,RHU,"33,852","24,083",71.1
Q42017,RPC,"2,406","2,403",99.9
Q42017,RHW,"33,333","27,595",82.8
Q42017,REF,"44,684","38,572",86.3
Q42017,RH8,"26,454","23,576",89.1
Q42017,RA2,"17,411","16,245",93.3
Q42017,RD1,"20,092","14,962",74.5
Q42017,RNZ,"11,786","10,462",88.8
Q42017,Y02666,"4,521","4,521",100.0
Q42017,RH5,"18,807","18,736",99.6
Q42017,RYF,"3,578","3,556",99.4
Q42017,NTP11,"12,684","12,661",99.8
Q42017,RW1,"1,729","1,729",100.0
Q42017,NTPAD,"14,448","14,374",99.5
Q42017,RTP,"25,782","22,917",88.9
Q42017,RDR,"26,106","25,814",98.9
Q42017,RBA,"16,716","14,419",86.3
Q42017,AAH,524,524,100.0
Q42017,RDZ,"22,810","20,969",91.9
Q42017,RA9,"24,585","20,122",81.8
Q42017,RHM,"34,287","28,776",83.9
Q42017,RA7,"32,826","26,764",81.5
Q42017,Y02584,"1,168","1,168",100.0
Q42017,RYR,"32,595","29,061",89.2
Q42017,RA3,"10,871","8,267",76.0
Q42017,G82071,"6,114","6,114",100.0
Q42017,NTV0W,"10,884","10,866",99.8
Q42017,NLX24,"4,119","4,119",100.0
Q42017,RA4,"12,633","11,990",94.9
