YEAR,ORG_CODE,STABILITY
2017,RBT,88.11
2017,00Q,94.00
2017,00R,91.43
2017,00T,83.58
2017,00V,87.78
2017,00X,87.32
2017,01A,89.06
2017,01C,78.13
2017,02M,90.00
2017,01E,80.00
2017,01F,72.06
2017,01D,75.96
2017,01J,88.41
2017,99A,84.72
2017,14L,79.78
2017,01K,87.88
2017,01H,75.00
2017,00Y,85.07
2017,01G,78.77
2017,01R,82.08
2017,01T,85.95
2017,01X,88.31
2017,01W,76.61
2017,01Y,76.84
2017,02A,81.82
2017,02D,96.88
2017,02E,88.31
2017,02F,81.94
2017,02G,91.11
2017,02H,88.51
2017,12F,66.67
2017,RNL,87.95
2017,RX7,89.57
2017,RTV,85.66
2017,RW6,88.37
2017,RT2,85.15
2017,RQ6,86.17
2017,RM3,87.68
2017,RVY,74.59
2017,RBN,88.67
2017,RWJ,85.74
2017,RMP,87.40
2017,RM2,0.00
2017,RTX,89.24
2017,RET,86.88
2017,RWW,87.68
2017,RY7,86.35
2017,RBL,90.07
2017,RRF,89.18
2017,RXT,86.20
2017,RYW,85.44
2017,RQ3,83.78
2017,TAJ,84.81
2017,RJF,86.64
2017,RYG,84.10
2017,RYK,86.53
2017,RNA,86.77
2017,RLT,85.26
2017,RR1,0.00
2017,RRE,85.64
2017,13P,0.00
2017,04X,0.00
2017,04Y,77.78
2017,05A,80.54
2017,05C,85.29
2017,05D,62.50
2017,05F,80.00
2017,05G,86.54
2017,05J,80.70
2017,05L,83.33
2017,05N,79.09
2017,05P,0.00
2017,05Q,76.09
2017,05R,87.88
2017,05T,84.35
2017,05V,87.10
2017,05W,86.96
2017,05X,83.12
2017,05Y,74.68
2017,05H,82.86
2017,06A,85.71
2017,06D,50.00
2017,RLY,87.98
2017,RL1,89.03
2017,RRJ,81.78
2017,RL4,89.15
2017,RXK,86.97
2017,RXW,88.95
2017,R1D,82.07
2017,RJC,84.95
2017,R1E,82.21
2017,RRK,86.82
2017,RKB,86.42
2017,RJE,88.23
2017,RBK,85.91
2017,RYA,91.52
2017,RWP,88.04
2017,R1A,85.02
2017,RLQ,86.65
2017,RTQ,86.21
2017,RVN,83.75
2017,RJ8,84.77
2017,RWV,87.60
2017,R1J,82.49
2017,RTE,86.77
2017,RN3,85.18
2017,11E,80.60
2017,11H,0.00
2017,11M,85.12
2017,11N,78.93
2017,11T,0.00
2017,99P,79.83
2017,11X,89.35
2017,99Q,78.40
2017,12A,0.00
2017,12D,85.53
2017,99N,84.73
2017,RVJ,83.40
2017,RBZ,88.16
2017,REF,87.01
2017,RH8,87.75
2017,RD1,84.53
2017,RH5,85.43
2017,RYF,83.19
2017,RBA,86.73
2017,RA9,87.50
2017,RA7,84.23
2017,RK9,89.02
2017,RA3,83.35
2017,RA4,83.21
