YEAR,ORG_CODE,SHMI
2013,RR7,0.979
2013,RR8,1.01
2013,RRF,1.077
2013,RRK,1.045
2013,RRV,0.803
2013,RTD,0.943
2013,RTE,1.067
2013,RTF,1.097
2013,RTG,1.09
2013,RTH,0.99
2013,RTK,0.908
2013,RTP,0.944
2013,RTR,1.013
2013,RTX,1.076
2013,RV8,0.83
2013,RVJ,0.98
2013,RVL,0.892
2013,RVR,0.976
2013,RVV,1.015
2013,RVW,1.16
2013,RVY,1.142
2013,RW3,1.011
2013,RW6,1.036
2013,RWA,1.034
2013,RWD,1.04
2013,RWE,1.051
2013,RWF,1.003
2013,RWG,0.934
2013,RWH,1.111
2013,RWJ,0.912
2013,RWP,1.077
2013,RWW,1.082
2013,RWY,1.111
2013,RX1,0.91
2013,RXC,1.104
2013,RXF,0.911
2013,RXH,0.96
2013,RXK,0.994
2013,RXL,1.197
2013,RXN,1.064
2013,RXP,1.019
2013,RXQ,1.076
2013,RXR,1.123
2013,RXW,1.054
2013,RYJ,0.747
2013,RYR,0.99
2014,R1F,1.0083
2014,R1H,0.8777
2014,R1K,0.915
2014,RA2,0.7964
2014,RA3,1.0534
2014,RA4,1.0361
2014,RA7,0.9828
2014,RA9,0.9798
2014,RAE,0.968
2014,RAJ,1.094
2014,RAL,0.8533
2014,RAP,0.9676
2014,RAS,0.9155
2014,RAX,0.9071
2014,RBA,0.97
2014,RBD,1.0995
2014,RBK,1.0781
2014,RBL,0.9687
2014,RBN,1.0251
2014,RBT,0.9906
2014,RBZ,0.9387
2014,RC1,1.0227
2014,RC9,1.0316
2014,RCB,1.0063
2014,RCD,0.9911
2014,RCF,0.9339
2014,RCX,0.8826
2014,RD1,0.9502
2014,RD3,0.9885
2014,RD8,1.0267
2014,RDD,0.9174
2014,RDE,1.0669
2014,RDU,0.9254
2014,RDZ,1.0318
2014,RE9,1.1773
2014,REF,1.0713
2014,REM,1.0199
2014,RF4,0.951
2014,RFF,0.9919
2014,RFR,1.0942
2014,RFS,0.9282
2014,RFW,0.881
2014,RGN,1.0356
2014,RGP,1.1183
2014,RGQ,0.982
2014,RGR,0.9337
2014,RGT,0.9039
2014,RH8,0.9226
2014,RHM,0.9926
2014,RHQ,0.91
2014,RHU,1.0801
2014,RHW,1.0159
2014,RJ1,0.7925
2014,RJ2,1.005
2014,RJ6,1.1499
2014,RJ7,0.9154
2014,RJC,1.0234
2014,RJE,1.0395
2014,RJF,0.954
2014,RJL,1.1099
2014,RJN,0.9755
2014,RJR,1.0521
2014,RJZ,0.8977
2014,RK5,1.0148
2014,RK9,0.9888
2014,RKB,1.0389
2014,RKE,0.6696
2014,RL4,0.991
2014,RLN,1.0259
2014,RLQ,1.1688
2014,RLT,1.0466
2014,RM1,1.0353
2014,RM2,1.0197
2014,RM3,0.9805
2014,RMC,1.0621
2014,RMP,1.1348
2014,RN3,0.9299
2014,RN5,1.0621
2014,RN7,1.0542
2014,RNA,1.0204
2014,RNL,0.9956
2014,RNQ,1.0092
2014,RNS,1.0242
2014,RNZ,1.0673
2014,RP5,1.1077
2014,RPA,1.1812
2014,RQ6,1.0476
2014,RQ8,1.0573
2014,RQM,0.7542
2014,RQQ,0.9916
2014,RQW,1.0759
2014,RQX,0.8812
2014,RR1,0.9746
2014,RR7,0.9978
2014,RR8,1.0168
2014,RRF,1.1257
2014,RRK,1.022
2014,RRV,0.7792
2014,RTD,0.9923
2014,RTE,1.0918
2014,RTF,1.0456
2014,RTG,1.015
2014,RTH,0.9794
2014,RTK,0.9366
2014,RTP,0.9279
2014,RTR,1.042
2014,RTX,1.0006
2014,RVJ,0.9296
2014,RVR,0.9817
2014,RVV,1.0218
2014,RVW,1.2098
2014,RVY,1.0644
2014,RW3,0.9787
2014,RW6,1.0082
2014,RWA,1.0695
2014,RWD,1.1114
2014,RWE,0.9753
2014,RWF,1.0246
2014,RWG,0.9335
2014,RWH,1.1254
2014,RWJ,0.9463
2014,RWP,1.1098
2014,RWW,1.1445
2014,RWY,1.0886
2014,RX1,1.0125
2014,RXC,1.1404
2014,RXF,0.8873
2014,RXH,0.9499
2014,RXK,0.9411
2014,RXL,1.1617
2014,RXN,1.0436
2014,RXP,1.0095
2014,RXQ,1.0618
2014,RXR,1.0762
2014,RXW,0.9936
2014,RYJ,0.7617
2014,RYR,1.0292
2015,R1F,1.0168
2015,R1H,0.8952
2015,R1K,0.8777
2015,RA2,0.8846
2015,RA3,1.1638
2015,RA4,0.9791
2015,RA7,0.9875
2015,RA9,0.8341
2015,RAE,0.9637
2015,RAJ,1.1251
2015,RAL,0.9078
2015,RAP,0.9244
2015,RAS,0.8875
2015,RAX,0.9092
2015,RBA,1.0019
2015,RBD,1.1616
2015,RBK,1.0521
2015,RBL,0.988
2015,RBN,1.0342
2015,RBT,0.9998
2015,RBZ,1.0242
2015,RC1,1.0116
2015,RC9,1.0901
2015,RCB,0.9976
2015,RCD,0.9259
2015,RCF,0.9417
2015,RCX,0.9675
2015,RD1,0.9811
2015,RD3,0.8759
2015,RD8,1.0283
2015,RDD,0.9921
2015,RDE,1.0808
2015,RDU,0.9406
2015,RDZ,0.9537
2015,RE9,1.1783
2015,REF,1.0327
2015,REM,1.064
2015,RF4,0.9971
2015,RFF,0.9943
2015,RFR,1.0282
2015,RFS,0.9747
2015,RGN,1.0706
2015,RGP,1.0796
2015,RGQ,0.9907
2015,RGR,0.869
2015,RGT,0.7972
2015,RH8,1.0163
2015,RHM,0.9577
2015,RHQ,0.9598
2015,RHU,1.0979
2015,RHW,1.0014
2015,RJ1,0.7605
2015,RJ2,0.99
2015,RJ6,0.9425
2015,RJ7,0.8952
2015,RJC,1.0698
2015,RJE,1.0162
2015,RJF,0.9643
2015,RJL,1.0889
2015,RJN,1.0893
2015,RJR,1.0788
2015,RJZ,0.8917
2015,RK5,0.9594
2015,RK9,0.9925
2015,RKB,1.0778
2015,RKE,0.678
2015,RL4,1.0606
2015,RLN,0.9826
2015,RLQ,1.163
2015,RLT,1.1426
2015,RM1,1.0555
2015,RM2,0.9653
2015,RM3,0.869
2015,RMC,1.0041
2015,RMP,1.1397
2015,RN3,0.9583
2015,RN5,1.0984
2015,RN7,1.0316
2015,RNA,0.9796
2015,RNL,1.0097
2015,RNQ,1.0918
2015,RNS,0.9388
2015,RNZ,1.0703
2015,RP5,1.0011
2015,RPA,1.1348
2015,RQ6,0.9988
2015,RQ8,1.042
2015,RQM,0.8641
