YEAR,ORG_CODE,SIMPLE_CONSULTANTS_FTE
2009,RLQ,85.2
2009,RLT,53.47091
2009,RLU,43.48
2009,RLY,33.95454
2009,RM1,285.06364
2009,RM2,204.35913
2009,RM3,244.41994
2009,RM4,53.9
2009,RMC,122.57045
2009,RMP,90.475
2009,RMY,62.69545
2009,RN1,113.61136
2009,RN3,125.60908
2009,RN5,101.775
2009,RN7,74.34545
2009,RNA,149.38409
2009,RNH,69.80909
2009,RNJ,319.20907
2009,RNK,18.03582
2009,RNL,145.725
2009,RNN,20.5
2009,RNQ,108.80791
2009,RNS,165.9205
2009,RNU,80.95455
2009,RNZ,135.43863
2009,RP1,45.7
2009,RP4,222.50363
2009,RP5,184.57909
2009,RP6,80.058
2009,RP7,38.96391
2009,RPA,139.63181
2009,RPC,50.43068
2009,RPG,59.44545
2009,RPY,97.16818
2009,RQ3,146.292
2009,RQ6,225.96136
2009,RQ8,157.94544
2009,RQM,177.65417
2009,RQQ,62.351
2009,RQW,104.03935
2009,RQX,15.50909
2009,RQY,82.52045
2009,RR1,330.33908
2009,RR7,114.085
2009,RR8,589.7036
2009,RRD,44.38864
2009,RRE,56.80409
2009,RRF,156.14691
2009,RRJ,55.95137
2009,RRK,301.37727
2009,RRP,86.45454
2009,RRV,338.04544
2009,RT1,59.23182
2009,RT2,63.23636
2009,RT3,135.87727
2009,RT5,80.36705
2009,RT6,36.769
2009,RTD,506.89
2009,RTE,297.14245
2009,RTF,193.40363
2009,RTG,253.24118
2009,RTH,408.09682
2009,RTK,146.2159
2009,RTP,126.64199
2009,RTQ,44.1
2009,RTR,323.76508
2009,RTV,45.35
2009,RTX,153.28182
2009,RV3,121.06576
2009,RV5,148.50253
2009,RV7,33.4
2009,RV8,209.32041
2009,RV9,31.525
2009,RVJ,282.10909
2009,RVL,204.51135
2009,RVN,101.04545
2009,RVR,197.24089
2009,RVV,289.25395
2009,RVW,145.35227
2009,RVY,87.68181
2009,RW1,85.35
2009,RW3,401.18863
2009,RW4,59.8
2009,RW5,81.89764
2009,RW6,361.09004
2009,RWA,306.12363
2009,RWD,249.95091
2009,RWE,494.90063
2009,RWF,186.69557
2009,RWG,164.17498
2009,RWH,202.41499
2009,RWJ,142.15227
2009,RWK,111.18636
2009,RWN,42.3
2009,RWP,214.91815
2009,RWQ,30.39545
2009,RWR,78.41818
2009,RWV,55.821
2009,RWW,115.94431
2009,RWX,51.2
2009,RWY,183.8889
2009,RX1,485.59091
2009,RX2,93.03468
2009,RX3,111.55
2009,RX4,144.69567
2009,RXA,67.00345
2009,RXC,170.85818
2009,RXE,40.27273
2009,RXF,266.89999
2009,RXG,50.7
2009,RXH,301.20236
2009,RXK,249.10681
2009,RXL,131.45909
2009,RXM,54.7
2009,RXN,235.34773
2009,RXP,208.61136
2009,RXQ,188.40099
2009,RXR,204.4875
2009,RXT,99.74182
2009,RXV,65.90027
2009,RXW,164.11363
2009,RXX,80.03635
2009,RXY,87.08363
2009,RYG,59.483
2009,RYH,0.96364
2009,RYJ,470.92769
2009,RYK,30.52727
2009,RYQ,282.03907
2009,RYR,210.63863
2009,T1160,5.4
2009,T1310,208.46078
2009,T1460,39.8
2009,TAC,6.8
2009,TAD,27.904
2009,TAE,2.5
2009,TAF,35.28409
2009,TAH,39
2009,TAJ,19.6
2009,TAK,1
2009,TAL,1.6
2009,TAM,5.19091
2009,TAN,9.68182
2010,50,4.1
2010,5A3,2.5
2010,5A4,9.75
2010,5A5,1.9
2010,5A7,8.9
2010,5A8,5.8
2010,5A9,1.58182
2010,5AT,5.6
2010,5C1,3.54545
2010,5C2,1.6
2010,5C3,8.59091
2010,5C4,6
2010,5C5,2.8
2010,5C9,6.25
2010,5CN,15.5
2010,5CQ,32.45
