YEAR,ORG_CODE,AE_SCORE
2012,RFS,0.958715059
2012,RTG,0.942826096
2012,RY8,0.998470816
2012,RNQ,0.908298138
2012,RY5,0.994810815
2012,RNS,0.914036908
2012,RX1,0.938822635
2012,RK5,0.939511619
2012,RWD,0.948349248
2012,RWE,0.920477998
2012,RDD,0.916400889
2012,RC1,0.947064368
2012,RGT,0.946393841
2012,RYV,0.999156329
2012,NQTL1,0.998046466
2012,NQ108,0.998973535
2012,RDE,0.959145007
2012,RWH,0.932364697
2012,NQ106,0.998356164
2012,RY4,0.999081244
2012,RQQ-X,0.976117575
2012,RGQ,0.953385746
2012,RGP,0.97544016
2012,RC9,0.977476442
2012,RQ8,0.944744474
2012,RM1,0.950147149
2012,RGN,0.931951013
2012,RAJ,0.921591148
2012,NHM01,0.993954481
2012,5PT,0.996336996
2012,RQW,0.937872706
2012,RCX,0.927724645
2012,RWG,0.938525594
2012,RGR,0.943403874
2012,RF4,0.867540388
2012,RVL,0.94834399
2012,R1H,0.937690506
2012,5A7,0.998358694
2012,RYX,0.912496976
2012,RQM,0.969354351
2012,RJ6,0.916650143
2012,NQT80,0.987077554
2012,RC3,0.969833131
2012,RWK,0.99786204
2012,RVR-X,0.968816023
2012,5A8,0.996947285
2012,RJ1-X,0.940603894
2012,RQX,0.912689505
2012,RY9,0.995217161
2012,RYJ,0.881226719
2012,RJZ,0.951910566
2012,RAX,0.961489933
2012,RJ2,0.944103479
2012,RP6-X,0.993820466
2012,RAT,0.94207063
2012,RAP,0.961609611
2012,RV8,0.938800306
2012,RAL,0.956776485
2012,RYQ,0.876022501
2012,5LE,0.993417517
2012,RJ7,0.950117388
2012,RAS,0.957542421
2012,RKE,0.948584262
2012,RRV,0.954147028
2012,5LG,0.996664146
2012,RFW,0.954366382
2012,RLN,0.945089383
2012,RXP,0.961253937
2012,RR7-X,0.946774745
2012,RVW,0.970103821
2012,RTF,0.980746734
2012,RTR,0.951546872
2012,RE9,0.980762526
2012,RTD,0.98026365
2012,RTV,0.998455108
2012,REM,0.951626169
2012,RBS,0.969099071
2012,RXL,0.935603077
2012,RMC,0.96482856
2012,RY2,0.998575222
2012,RW3-X,0.953758351
2012,RJR,0.950172669
2012,RNN,0.93449651
2012,RJN,0.937857849
2012,RXR,0.953655208
2012,RXN,0.951467838
2012,RY1,0.995521123
2012,REP,0.999229584
2012,RBT,0.946488251
2012,RNL,0.941545423
2012,RW6,0.961995662
2012,RQ6,0.951811733
2012,RM3,0.954516313
2012,RVY,0.953064339
2012,RBN,0.943433974
2012,RWJ,0.90384658
2012,RMP,0.931268882
2012,RM2,0.907994959
2012,RTX,0.934939618
2012,RWW,0.952380483
2012,NM101,0.999559568
2012,RBL,0.923241587
2012,RRF,0.970717312
2012,NQT10,0.999080303
2012,RWX,0.997287811
2012,RXQ,0.891810878
2012,NQTJC,0.974515446
2012,RN5-X,0.938517024
2012,RD7,0.903388227
2012,R1F-X,0.923647308
2012,RD8,0.75209022
2012,RNU,0.992009776
2012,RTH,0.920488432
2012,RHU,0.909181507
2012,RHW,0.948474133
2012,R1C,0.998188479
2012,RW1,0.99627907
2012,RHM,0.934362684
2012,RTK,0.920093368
2012,RXH,0.931264151
2012,RN7-X,0.953044045
2012,RVV,0.907784401
2012,RXC,0.75565198
2012,RDU,0.955130757
2012,RWF,0.928835011
2012,RPA,0.938440812
2012,RPC,0.990510887
2012,RA2,0.876948353
2012,RTP,0.962840853
2012,RDR,0.539270107
2012,5P6,0.625
2012,RYR-X,0.962522277
2012,NLL11,0.997668771
