YEAR,ORG_CODE,TOTAL_EPISODES,ADMISSIONS,MALE_ADMISSIONS,FEMALE_ADMISSIONS,0-14,15-29,30-44,45-59,60-74,75-89,90+
2012,RCX,88079,71387,38976,49103,7207,9091,9420,12530,22588,23234,3714
2012,5PV,282,282,117,165,0,0,0,0,52,165,55
2012,RWG,106691,90286,46931,59758,12738,10562,16512,16037,21513,24062,4775
2012,RGR,72791,55177,32060,40730,7051,6745,8303,10512,17311,18922,3818
2012,NYW03,74,65,33,41,0,0,21,34,0,0,0
2012,NYW02,0,0,0,0,0,0,0,0,0,0,0
2012,RF4,154514,127010,68315,86189,18686,16579,20919,22888,29678,37679,7380
2012,RVL,139304,116548,54020,85247,14237,18996,26132,19480,24060,29224,6606
2012,RRP,3543,2252,1999,1544,25,1047,1119,805,346,167,11
2012,R1H,271780,237548,125475,146282,44502,40035,47990,43538,44894,41519,7059
2012,NT405,1359,1359,608,751,0,58,164,308,405,389,32
2012,NT409,356,356,163,193,0,16,62,85,122,68,0
2012,NT436,1332,1332,630,698,0,79,256,382,390,205,8
2012,NT406,1288,1288,627,658,0,154,374,363,270,120,0
2012,NT411,1751,1751,830,921,0,196,465,540,391,151,0
2012,NT416,417,417,121,294,0,25,103,128,114,27,0
2012,NT421,971,971,431,540,0,65,221,325,229,113,0
2012,NT422,1967,1967,1032,932,0,287,670,582,320,75,0
2012,NT437,341,341,153,188,0,21,77,92,101,19,0
2012,NT495,111,111,38,73,0,23,41,15,0,0,0
2012,NT451,824,824,364,456,0,85,186,253,213,74,0
2012,TAF,2637,1727,1243,1394,0,566,902,672,342,140,12
2012,5K7,386,386,197,189,0,0,0,14,90,201,58
2012,RV3,4374,3414,2413,1959,28,1007,1448,1129,520,216,18
2012,RQM,77121,69920,32113,44990,18166,10016,17927,9083,9149,8638,1668
2012,RJ6,83831,73052,32364,51458,10070,11922,14608,12934,14090,16268,3258
2012,RC3,50320,41493,22538,27781,6274,7489,8591,7764,8871,9448,1570
2012,RWK,4374,3477,2575,1799,19,1393,1591,824,354,172,12
2012,5C1,868,278,200,668,0,0,0,8,66,600,168
2012,RVR-X,112170,91479,48053,64117,14019,11109,14873,15946,21965,27783,6073
2012,RP4,42898,37442,23067,19831,38813,3919,101,33,0,0,0
2012,RJ1-X,149232,134718,70907,78324,24735,21411,29955,26288,25307,17358,2084
2012,5A4,29,29,12,17,0,0,0,0,0,7,10
2012,RQX,66746,56236,24905,41834,9890,14042,16759,9483,7470,6984,1005
2012,RY9,385,385,133,252,0,0,0,6,47,232,93
2012,RYJ,198022,173128,85488,112534,17948,22948,41725,35801,40924,30194,4393
2012,RJZ,146957,118621,65165,81776,19434,21218,30777,26332,25840,19303,2748
2012,RAX,78794,65558,28499,50295,10950,8524,18510,8667,11908,15305,4153
2012,5A5,156,152,63,93,0,0,9,7,7,85,28
2012,RJ2,61779,58640,22968,38811,10329,10594,13414,8216,8299,8816,1784
2012,RP6-X,28760,28760,13976,14781,1086,1550,2742,5137,10030,7726,412
2012,5C5,0,0,0,0,0,0,0,0,0,0,0
2012,RAT,3301,3055,1543,1758,39,567,575,420,420,983,295
2012,NTP15,7031,6341,3405,3621,0,563,1322,1993,1897,1197,44
2012,RAP,61547,49723,26610,34937,8977,7309,9407,10630,11388,11313,1604
2012,RV8,124362,107202,56873,67482,16188,16700,19204,19403,23182,24378,4563
2012,RPG,3397,2715,1924,1473,0,854,1175,729,338,254,19
2012,5M6,36,36,8,28,0,0,0,0,0,9,12
2012,RT3,38064,34348,21463,16601,4619,3555,4695,8941,10648,5340,199
2012,RAL,82238,69985,39155,43082,8100,8816,12973,14506,17027,16191,3319
2012,RAN,15879,15842,6902,8977,1365,2480,2912,3886,3544,1585,46
2012,RV5,7500,7500,4182,3318,99,2103,2671,1865,525,213,18
2012,RYQ,192627,169268,76188,116430,20417,22265,30164,29460,39343,42574,7369
2012,RQY,2449,1952,1224,1225,27,634,839,574,227,108,19
2012,NT314,1445,1445,662,783,11,198,422,463,262,66,0
2012,RJ7,111281,105559,51856,59377,15852,14353,20547,18017,21768,17568,2558
2012,RAS,63388,59591,26331,37057,8653,8555,10604,10190,11514,11475,2135
2012,RPY,21883,21883,10794,11089,2534,1397,2258,5514,7839,2254,48
2012,RKE,58017,53019,22486,35527,7425,8251,14466,9427,8642,7983,1408
2012,RRV,153792,144276,71100,82574,17952,22638,32104,31265,31746,14519,1419
2012,5LG,718,716,277,441,0,8,9,46,108,369,164
2012,RKL,3416,1160,1985,1431,0,847,1131,860,434,129,6
2012,RFW,58452,46725,24967,33482,9288,7823,10185,8243,9440,10702,2336
2012,NNV01,557,542,240,317,0,0,70,34,46,277,128
2012,NT457,2685,2685,1099,1574,0,163,533,823,753,393,19
2012,RLN,144567,127379,66724,77843,10708,14828,17343,25231,35946,36297,4076
2012,NVC29,4139,4139,2028,2111,0,483,1049,1409,962,227,0
2012,RXP,157272,137963,66784,90481,17362,19437,19650,25258,35680,34356,5201
2012,RR7-X,67719,57462,28378,39341,6293,5647,7736,12287,16705,16220,2340
2012,RVW,98892,83809,43579,55313,10370,11264,11685,17337,23523,21325,2748
2012,RX4,5178,3532,3087,2091,38,1114,1376,1144,700,695,0
2012,RTF,143244,113129,63096,80148,9413,12359,16199,24125,37849,36539,6507
2012,NT229,576,576,332,244,0,69,150,175,140,20,0
2012,NT237,4172,4172,1951,2221,0,190,503,1008,1436,994,39
2012,RTR,186106,150869,86124,99982,18657,20260,21931,31690,45492,41457,5527
2012,RE9,46102,37221,18546,27556,3547,5703,5146,7391,10939,11385,1880
2012,NT333,2466,2466,1144,1322,0,175,617,825,665,118,0
2012,NVC35,4868,4868,2563,2305,0,536,1120,1548,1231,420,12
2012,RX3,7990,5269,4355,3618,1139,1953,1944,1385,874,637,53
2012,RTD,237052,212396,112444,124603,37511,27570,30483,41630,53392,39792,4729
2012,NN401,1043,1037,463,580,0,96,217,414,245,37,0
2012,RTV,2970,2470,1525,1445,6,663,781,727,395,359,32
2012,REM,100027,72341,49732,50293,55,8474,12197,21627,28702,25754,3035
2012,RBS,41717,33298,22752,18965,37161,4447,0,0,0,0,0
2012,RXL,133006,108994,62462,70541,9379,11843,13052,21040,35653,36235,5447
2012,NT401,2562,2562,1252,1309,0,206,518,856,742,226,8
2012,NT403,3763,3763,1548,2215,0,244,777,1258,1078,396,6
2012,NT404,3552,3552,1718,1833,0,314,914,1184,871,260,0
2012,NT420,3779,3779,1857,1909,0,364,859,1126,1005,406,12
2012,NT439,1278,1278,520,757,0,106,325,414,333,96,0
2012,NT497,1927,1927,922,1005,0,121,385,555,627,225,7
2012,NT449,1444,1444,596,848,0,115,293,453,406,165,8
2012,RMC,100565,89207,40933,59632,16028,17375,14304,13050,19325,17727,2495
2012,RJX,193,193,0,0,0,90,66,12,0,0,0
2012,RW3-X,208922,175831,95731,113185,49122,30765,28928,29118,35882,28131,3117
2012,RXA,2468,2440,1271,1196,16,646,714,556,278,227,31
2012,RJR,95613,77810,40709,54900,9095,12674,14254,14171,20411,20900,3790
2012,RNN,5562,5347,2342,3220,59,210,356,446,918,2732,833
2012,RJN,43710,36763,18480,25229,5534,3956,5203,6026,9249,11287,2421
2012,RXR,154683,128665,69946,84733,23715,18446,19973,23954,32920,30518,4788
2012,NVC05,4074,4074,1811,2263,0,365,1030,1320,1127,220,0
2012,NVG01,3117,3117,1569,1548,0,258,674,947,901,320,14
2012,NVC07,5237,5237,2366,2871,0,433,886,1432,1619,824,31
2012,NVC34,1552,1552,757,795,0,115,240,491,516,180,0
2012,NVC33,2250,2250,1141,1109,0,211,456,746,662,170,0
2012,RXV,2629,2371,1406,1223,19,638,883,594,264,194,25
2012,NVC39,572,572,260,312,0,36,104,156,210,63,0
2012,RW5,4837,3590,2525,2312,11,1052,1364,1109,666,562,59
2012,RXN,143136,128555,61704,81356,15401,20505,21155,24071,32015,25915,3472
2012,RY1,1095,1095,487,608,0,0,10,74,192,641,174
2012,RBQ,14475,13617,9428,5047,0,653,926,3421,5958,3382,109
2012,REP,42868,41374,6866,35995,13061,14508,9925,1888,1019,390,15
2012,TAE,1686,1234,917,769,0,463,588,324,159,138,11
2012,RW4,4175,3616,2321,1854,0,667,1542,1190,451,294,19
2012,RBT,81067,63128,34775,46292,7340,9978,10033,12311,18682,19100,3415
2012,RNL,97579,86465,47233,50346,9525,8940,10402,17352,26295,22254,2599
2012,NT210,601,601,315,286,0,32,70,163,246,87,0
2012,NVC12,3125,3125,1456,1669,0,353,757,1099,744,161,0
2012,RW6,235363,207699,104959,130399,30491,28207,31510,38819,52243,44181,6495
2012,RT2,3666,2990,1980,1686,14,888,1082,849,455,331,28
2012,NVC16,2793,2793,1238,1554,0,203,531,857,806,387,8
2012,RQ6,109352,88068,55830,53522,511,11852,14955,24477,29924,24544,2838
2012,RM3,93631,74775,44020,49610,3123,10975,15968,21228,22507,16872,2503
2012,RVY,68251,60638,30755,37492,7109,6225,7407,10350,16172,18135,2658
2012,NPG01,654,654,273,381,0,0,7,48,307,279,10
2012,NT324,2479,2479,1100,1379,0,259,521,787,731,170,6
2012,NT347,2482,2482,1073,1409,0,116,330,579,769,661,24
2012,NT337,5379,5379,2634,2745,0,569,1096,1755,1346,596,13
2012,NT327,1087,1087,467,620,0,159,322,328,212,39,0
2012,NT325,2367,2367,1111,1256,0,126,423,735,730,339,10
2012,NT339,1809,1809,818,991,27,169,330,442,522,296,14
2012,RBN,121283,98439,53684,67599,10017,16358,17157,20219,26193,27299,3901
2012,RWJ,98086,86137,41850,56235,12194,12272,13614,14256,20436,21233,3817
