YEAR,ORG_CODE,TOTAL_EPISODES,ADMISSIONS,MALE_ADMISSIONS,FEMALE_ADMISSIONS,0-14,15-29,30-44,45-59,60-74,75-89,90+
2013, RGR ,76605,58785,33689,42916,7234,6894,8423,10888,18754,20150,4129
2013, RGT ,160298,135205,72907,87388,19416,17626,23385,28065,37817,28858,4713
2013, RH5 ,6493,5939,2693,3800,0,369,583,598,1016,2907,1013
2013, RH8 ,158765,121890,73435,85329,11775,14712,17592,24196,42960,40358,6899
2013, RHA ,5405,4363,2927,2478,11,1048,1429,998,785,939,187
2013, RHM ,162493,129367,77308,85182,25455,19107,21107,24017,34507,31946,5423
2013, RHQ ,238369,214091,103130,135239,7920,31071,36706,48456,63581,43296,5782
2013, RHU ,160631,134160,71853,88778,17745,18625,19501,24890,35568,36552,7367
2013, RHW ,113707,98476,48702,65003,13128,12518,17428,17075,25521,23659,3913
2013, RJ1-X ,151716,138253,71471,80245,26105,21740,30026,27706,25487,16634,2023
2013, RJ2 ,101196,92172,39258,61938,16177,14617,19340,14564,15978,16617,3258
2013, RJ6 ,89739,73464,36175,53509,9979,11897,14388,13950,16071,18928,3686
2013, RJ7 ,120112,110684,56573,63532,18293,14462,21369,19274,23120,19769,3099
2013, RJ8 ,919,628,537,382,0,199,262,218,138,87,9
2013, RJC ,72088,58488,30975,41113,6810,5995,8502,11071,16782,18911,3803
2013, RJDTC ,1490,1490,630,860,0,91,133,393,529,309,26
2013, RJD-X ,66177,58363,27961,38215,7568,7351,8106,11295,16292,13234,2138
2013, RJE ,204787,157605,89399,115383,22465,27060,26733,31486,47156,42922,6655
2013, RJF ,80050,68302,32768,47281,8434,9578,10694,11932,17923,18324,3117
2013, RJL-X ,122671,107403,54573,68098,11502,14063,13492,19760,30931,27927,3758
2013, RJN ,43720,36864,19053,24667,5133,3861,5048,6593,9448,11357,2208
2013, RJR ,93304,76650,39078,54225,8552,11963,14015,13814,19798,21241,3581
2013, RJX ,309,309,239,70,0,131,108,61,0,0,0
2013, RJZ ,238306,201058,102853,135271,27045,29201,43880,42703,45107,41590,6693
2013, RK5 ,100610,83025,42235,58374,9221,13445,13335,16585,21065,22442,3682
2013, RK9 ,134327,114065,62296,72024,13533,14942,15254,22544,34832,28633,4152
2013, RKB ,171403,142355,76466,94937,19351,20384,22693,28259,38777,33346,6235
2013, RKE ,64461,55601,25787,38662,7877,9022,15305,10571,10190,9271,1694
2013, RKL ,3075,951,1766,1309,0,727,985,838,376,127,10
2013, RL1 ,14898,14442,6828,8070,801,1345,1981,3725,4960,1993,85
2013, RL4 ,127946,106396,58963,68866,14504,13714,15085,21463,31922,26896,3884
2013, RLN ,138973,121521,63964,75009,10798,13659,15697,24985,34983,34723,4024
2013, RLQ ,52132,43953,24011,28121,7846,5503,4983,6298,11586,13435,2339
2013, RLT ,43310,37667,18312,24998,3149,5513,5962,7295,9937,9463,1904
2013, RLU ,24043,23194,4453,19576,8531,6556,6762,823,341,129,0
2013, RLY ,2184,1983,1309,875,332,492,530,410,214,180,11
2013, RM1 ,218389,173111,99656,118726,17191,20306,23365,32478,56891,57766,10077
2013, RM2 ,113488,93433,50273,63209,10800,12413,16532,20515,25873,22867,3920
2013, RM3 ,104479,80856,49545,54931,2594,12063,17793,24017,25742,19130,2679
2013, RMC ,103513,91715,42651,60862,15519,16815,15110,14056,20703,18615,2431
2013, RMP ,64638,51031,27905,36731,7295,7954,8916,11236,13536,13134,2389
2013, RMY-X ,3477,2867,1828,1649,11,772,994,852,486,328,33
2013, RN3 ,108168,92855,45696,62467,15765,12267,15858,16553,22724,20820,4014
2013, RN5-X ,122163,100387,54315,67847,14453,11660,16516,19663,27549,27179,4791
2013, RN7-X ,83911,72334,36742,47165,11136,9713,11924,13967,16894,17288,2739
2013, RNA ,126254,109068,52342,73912,12060,17933,17175,18699,27567,27866,4498
2013, RNL ,99579,88758,48308,51271,9490,9131,10880,17533,27101,22644,2619
2013, RNN ,5393,5204,2398,2995,67,274,364,496,873,2592,717
2013, RNQ ,87903,78553,37722,50181,10018,11332,12174,12893,20230,17683,3371
2013, RNS ,108922,97614,45879,63038,14463,14736,16333,16803,24088,18624,3378
2013, RNU ,5408,4284,2408,3000,37,754,731,652,667,1871,693
2013, RNZ ,64428,55614,28813,35615,6066,8138,9389,10205,14308,13911,2259
2013, RP1 ,2100,2100,1035,1065,21,504,633,490,211,218,22
2013, RP4 ,48600,40147,25915,22675,44382,3813,137,45,7,0,0
2013, RP5 ,146479,119411,65224,81250,16578,15668,16911,22657,32614,36099,5417
2013, RP6 ,30774,30774,15025,15746,1164,1912,2745,5457,10590,8361,468
2013, RP7 ,1341,1153,706,635,18,282,313,274,254,185,15
2013, RPA ,86935,74746,38354,48581,15392,11373,11814,13552,17632,14680,2265
2013, RPC ,18095,18034,9692,8403,2311,2798,2677,3735,3524,2637,395
2013, RPG ,3648,2898,2116,1532,0,974,1220,846,331,212,25
2013, RPY ,22331,22331,10993,11338,2131,1319,2322,5683,8139,2626,54
2013, RQ3 ,42914,40112,24612,18302,39656,3243,0,0,0,0,0
2013, RQ6 ,110291,89875,55716,54575,576,11990,14959,24926,30402,24515,2867
2013, RQ8 ,97282,86182,44023,53257,12054,9856,12779,15662,22131,20733,3738
2013, RQM ,79622,72083,33497,46111,18290,10156,18280,9709,10108,8743,1844
2013, RQQ-X ,45862,40563,20230,25631,3348,4192,5966,7568,12149,10855,1678
2013, RQW ,78588,67630,32284,46298,7641,9325,11763,11879,15824,18183,3342
2013, RQX ,71048,59631,25628,45414,10754,14833,18338,10137,7451,7127,1194
2013, RQY ,2663,2082,1395,1268,32,674,826,680,282,130,23
2013, RR1-X ,268922,224266,113634,155287,25879,38522,36949,40052,57460,59214,10249
2013, RR7-X ,73310,59970,30182,43123,4740,5798,8665,14511,18641,17827,2564
2013, RR8 ,225139,190798,105259,119878,31184,26743,30874,36787,47576,44639,6049
2013, RRD ,2152,1811,1035,1116,15,454,614,524,262,264,19
2013, RRE ,2429,1999,1295,1134,0,494,749,554,345,269,0
2013, RRF ,93177,82543,42410,50767,6673,9321,11288,17198,25622,20370,2462
2013, RRJ ,14376,14373,6449,7927,893,1532,2019,3443,4181,2160,69
2013, RRK-X ,118389,102337,61068,57321,54,14400,18352,26293,30949,24016,3889
2013, RRP ,4016,2523,2149,1867,26,1085,1154,816,423,362,126
2013, RRV ,169641,157759,77677,91870,18345,25086,37036,33860,34966,16297,1548
2013, RT1 ,2807,2145,1430,1372,67,671,896,625,353,178,14
2013, RT2 ,4205,3343,2249,1956,10,1038,1229,969,564,363,28
2013, RT3 ,41301,37193,23387,17914,4981,3967,5105,9301,11863,5712,269
2013, RT5 ,6458,5798,2945,3513,22,703,859,751,886,2444,770
2013, RTD ,243217,217581,116243,126969,38327,27407,30839,43554,55068,40917,5057
2013, RTE ,182193,149077,79915,102278,18251,19862,22807,28555,45605,40350,6401
2013, RTF ,130785,104188,58176,72609,8844,10178,14487,22431,35650,33372,5629
2013, RTG ,181757,142041,78778,102966,13187,21899,24483,29455,43083,41348,7451
2013, RTH ,213107,194867,99363,113742,26949,24299,30384,36387,48355,39089,5815
2013, RTK ,87803,76299,36878,50925,9467,9050,13123,12382,17783,21482,4337
2013, RTP ,94137,78164,42623,51490,12479,9031,12782,13756,18720,22504,4468
2013, RTQ ,1652,1235,853,798,0,290,418,378,317,214,28
2013, RTR ,188392,153466,86427,101965,18432,19779,22392,32765,47121,41560,5314
2013, RTV ,3068,2510,1564,1504,0,661,928,665,397,378,30
2013, RTX ,106155,91271,48959,57196,10540,9860,11499,17664,26833,25721,3844
2013, RV3 ,5639,3261,2882,2751,34,1200,1615,1207,684,701,172
2013, RV5 ,7029,7029,3963,3065,88,2067,2346,1814,502,189,15
2013, RV8 ,134414,114403,61713,72690,15485,17148,21117,23467,25574,26381,4458
2013, RV9-X ,2214,1724,1143,1071,0,319,494,489,339,455,110
2013, RVJ-X ,130504,114867,56523,73944,9781,17188,21779,20901,28711,25858,4700
2013, RVL ,122090,105824,49605,72440,13062,15031,21963,17902,22327,25763,5632
2013, RVN ,3871,2517,2031,1840,0,841,1094,818,560,503,51
2013, RVR-X ,111245,92506,48248,62997,12838,10927,15153,16234,22149,26955,6079
2013, RVV ,197970,177502,90114,107850,16636,19757,22620,31919,50967,47261,8491
2013, RVW ,99414,83146,43709,55704,9729,10446,11438,18161,24040,21762,2770
2013, RVY ,70942,61423,31937,39003,6564,6282,7685,10804,16913,19802,2713
2013, RW1 ,14738,13665,7217,7521,21,1085,1532,2360,3614,5048,1065
2013, RW3-X ,218762,180464,100468,118278,49354,31549,30783,31891,38045,29381,3397
2013, RW4 ,4203,3656,2334,1869,0,758,1548,1183,412,267,14
2013, RW5 ,4946,3752,2675,2271,16,1263,1336,1138,630,493,64
2013, RW6 ,236426,200136,104494,131931,28836,29353,31251,39138,53142,45922,7100
2013, RWA ,185676,158332,83818,101838,16553,20493,23673,32924,46414,39594,5556
2013, RWD ,175073,146845,79640,95330,14994,18319,19075,27151,46646,41768,6840
2013, RWE ,268761,223123,117128,151629,25299,35438,39602,41984,60181,55473,9844
2013, RWF ,110175,98228,48495,61680,12732,10793,14798,17572,24341,25075,4635
2013, RWG ,113829,96895,49616,64208,14015,11742,17814,17195,22694,25087,4737
2013, RWH ,101158,84224,45628,55525,13529,10135,13496,15536,20933,22711,4595
2013, RWJ ,100180,88814,42569,57611,10508,12743,14200,15079,21141,22207,3975
2013, RWK ,5314,3679,3148,2166,27,1724,1917,1078,362,149,11
2013, RWN ,3459,2676,1717,1742,37,657,751,632,538,712,129
2013, RWP-X ,156166,133519,71587,84578,14442,15291,18564,24128,41094,36345,5835
2013, RWR ,1866,1324,966,896,13,468,584,428,225,137,9
2013, RWV ,2320,1780,1155,1165,0,459,636,612,392,192,20
2013, RWW ,94242,79337,41312,52929,9964,10932,12747,15523,22397,19401,3003
2013, RWX ,1278,1051,605,673,21,296,329,269,155,153,30
2013, RWY ,139485,122270,56727,82753,16421,19315,20209,21612,29742,27254,4427
2013, RX1 ,243488,206110,109486,133977,29228,30955,32159,39900,54715,47558,7978
2013, RX2 ,5987,4437,3077,2910,18,1217,1621,1588,855,601,68
2013, RX3 ,7569,4800,4172,3371,1025,1956,1769,1354,836,565,60
2013, RX4 ,2399,1621,1384,1015,14,552,663,582,300,265,20
2013, RXA ,2599,2559,1342,1257,16,727,739,565,315,219,18
2013, RXC ,120395,102447,54082,66310,10675,9241,10968,17851,30058,34022,7258
2013, RXE ,2887,2675,1414,1473,0,370,607,481,472,783,168
2013, RXF-X ,189481,158517,84059,105421,20408,25014,25381,30971,43048,38233,5976
2013, RXG ,3833,3188,1949,1882,0,601,993,791,606,705,114
2013, RXH ,143137,117834,67446,75686,18747,13946,19823,23779,30405,29727,5550
2013, RXKTC ,15292,15260,5124,10168,725,1451,2560,4729,4218,1482,46
2013, RXK-X ,135770,107499,63034,72732,18120,16437,19222,22457,27741,27212,4058
2013, RXL ,128572,104009,61183,67389,9842,12212,13047,21564,34304,32680,4653
2013, RXM ,1778,1456,935,843,0,356,492,407,263,237,19
2013, RXN ,148218,131941,64975,83156,15207,20277,22709,25182,33503,27013,3695
2013, RXP ,160104,138304,68701,91383,16511,19048,19381,26238,37751,35395,5405
2013, RXQ ,96027,88368,41120,54906,13583,9530,13585,14880,21118,19725,2997
2013, RXR ,156284,129245,71102,85178,22820,17953,19598,25193,34716,30911,4757
2013, RXT ,4024,2642,2426,1598,0,1039,1341,937,411,226,18
2013, RXV ,3517,3140,1996,1517,13,840,1157,839,381,245,25
2013, RXW ,148275,114149,68105,80166,17380,14254,16827,23746,37213,32616,5352
2013, RXX ,3677,3028,1872,1804,228,990,1035,741,367,286,24
2013, RXY ,4239,3007,2184,2055,0,962,1231,998,627,391,20
2013, RY1 ,1160,1160,484,676,0,0,8,59,201,707,168
2013, RY3 ,4268,4181,1851,2417,350,396,167,285,622,1843,601
2013, RY4 ,3899,3872,1444,2455,0,28,139,455,869,1945,460
2013, RY5 ,1795,1795,772,1022,0,44,96,182,497,765,199
2013, RY6 ,106,90,41,65,0,0,0,0,7,56,29
2013, RY8 ,19226,19213,8788,10438,9,1041,2307,3598,5236,5968,1039
2013, RY9 ,451,451,175,276,0,0,0,7,62,266,111
2013, RYG ,1719,1417,853,866,17,396,474,400,206,173,17
2013, RYJ ,202587,176475,88724,113862,18387,22404,43004,38402,41985,30056,4540
2013, RYK ,1069,1062,539,530,0,189,314,278,148,116,12
2013, RYQ ,45977,40179,19854,26123,5895,4836,6350,7389,9741,9775,1667
2013, RYR-X ,146461,120007,66162,80299,13135,11146,14715,21345,37486,39803,8485
2013, RYV ,4565,4564,2423,2142,3773,267,0,50,151,241,67
2013, RYW ,4827,4720,1856,2971,689,791,606,435,466,1375,463
2013, RYY ,2480,2473,917,1563,0,0,10,126,341,1465,534
2013, TAD ,1723,1145,960,763,0,404,514,427,219,140,6
2013, TAE ,1877,1512,1028,849,0,453,680,444,173,110,6
2013, TAF ,2731,1785,1370,1361,0,614,969,698,335,95,0
2013, TAH ,1253,993,724,529,0,268,443,323,134,79,0
2013, TAJ ,1602,1602,937,665,0,573,425,307,165,125,7
2014,8A101,350,349,192,158,0,0,0,59,132,125,25
2014,8E339,360,357,165,195,0,0,22,91,147,95,0
2014,8HP32,1445,1445,533,912,0,0,0,58,449,869,61
2014,8J285,175,175,70,105,0,0,0,0,13,97,54
2014,AAH01,934,934,425,509,0,42,100,177,281,291,29
2014,AHH01,235,235,144,91,0,11,43,85,78,7,0
2014,NDA01,1702,1692,606,1096,0,0,9,87,240,933,420
2014,NDJ01,375,375,111,264,0,0,0,0,26,235,96
2014,NEQ01,935,935,374,561,0,94,216,298,227,85,0
2014,NEY01,107,34,64,43,0,0,18,40,8,7,0
2014,NFH01,939,939,419,520,0,73,115,163,288,263,33
2014,NHM01,1279,1279,485,794,0,0,0,17,205,761,277
2014,NHW03,41,41,14,27,0,0,0,8,7,0,0
2014,NLL01,5057,4953,2149,2908,0,15,70,293,864,2839,968
2014,NLT01,297,297,121,176,0,0,0,15,56,154,72
2014,NLX01,441,441,171,270,0,0,0,11,42,265,119
2014,NLX02,450,328,154,295,0,0,0,0,45,291,97
2014,NLX22,227,226,112,115,0,0,0,6,31,135,34
2014,NN401,1119,1119,459,660,0,100,255,351,315,96,0
2014,NN501,199,199,107,92,0,19,36,56,65,10,0
2014,NN801,1729,1729,689,1040,0,97,341,541,526,190,10
2014,NNE02,111,111,68,43,0,8,9,30,44,0,0
2014,NNH02,3150,3150,1199,1951,0,0,31,167,939,1800,203
2014,NNH04,1968,1968,815,1153,0,0,9,149,669,1057,67
2014,NNQ01,158,158,51,107,0,10,8,25,25,58,15
2014,NPG01,9065,9065,3898,5167,0,0,52,667,3452,4596,285
2014,NQ106,268,268,100,168,0,0,0,0,20,154,71
2014,NQ108,758,741,320,438,0,0,0,7,113,458,169
2014,NQ713,514,514,172,342,0,0,0,9,110,295,90
2014,NQ719,362,362,168,194,0,0,7,58,146,129,12
2014,NQA31,123,123,43,80,0,0,0,0,7,73,28
2014,NQL01,467,451,236,231,0,103,124,89,67,71,6
2014,NR501,710,698,296,414,0,0,0,31,153,405,113
2014,NR510,13,13,13,0,0,0,0,0,0,0,0
2014,NR515,209,208,103,106,0,54,62,73,15,0,0
2014,NR527,222,212,106,116,0,6,27,44,57,71,9
2014,NR535,34,34,7,27,13,17,0,0,0,0,0
2014,NT202,626,626,284,342,0,17,79,164,239,119,6
2014,NT204,1719,1719,601,1118,0,126,273,402,502,378,16
2014,NT205,329,329,191,138,0,135,70,67,40,9,0
2014,NT206,611,611,278,333,0,12,58,117,215,191,15
2014,NT209,642,642,361,281,0,63,139,155,209,68,0
2014,NT210,643,643,324,319,0,21,70,210,237,97,0
2014,NT211,119,119,44,75,0,6,16,29,19,8,0
2014,NT212,840,840,367,473,0,39,125,198,274,194,7
2014,NT213,1385,1385,616,769,0,87,170,356,542,218,7
2014,NT214,1157,1157,528,629,0,80,221,317,376,153,8
2014,NT215,1417,1417,733,684,0,64,176,388,566,218,0
2014,NT218,387,387,164,223,0,23,67,122,129,42,0
2014,NT219,965,965,441,524,0,66,140,250,347,152,0
2014,NT222,593,593,296,297,0,11,52,121,244,158,0
2014,NT224,226,226,99,127,0,0,18,61,100,17,0
2014,NT225,4599,4599,1958,2641,0,723,1168,1420,961,305,0
2014,NT226,2046,2046,974,1072,0,166,287,475,675,424,17
2014,NT229,714,714,420,294,0,109,197,197,162,48,0
2014,NT230,2717,2717,1325,1392,0,155,439,899,921,293,0
2014,NT233,3239,3239,1764,1475,0,323,718,1053,881,254,0
2014,NT235,1244,1244,550,694,0,21,46,164,472,509,27
2014,NT237,4762,4762,2175,2587,0,212,503,1211,1642,1159,35
2014,NT238,1677,1677,739,938,0,70,230,433,590,327,20
2014,NT239,447,447,220,227,0,25,67,119,142,90,0
2014,NT241,1188,1188,528,660,0,48,137,213,367,393,25
2014,NT242,2478,2478,1110,1368,0,70,230,459,909,764,37
2014,NT244,191,191,92,99,0,15,12,36,73,23,0
2014,NT245,1037,1037,468,569,0,44,117,287,395,186,0
2014,NT301,1767,1767,832,935,0,135,351,564,565,150,0
2014,NT302,1525,1525,796,729,0,83,317,444,501,170,0
2014,NT304,1537,1537,658,879,0,57,182,428,572,283,11
2014,NT305,794,794,376,418,0,38,84,207,309,147,0
2014,NT308,1016,1016,469,547,0,43,138,334,361,132,0
2014,NT309,512,512,198,314,0,13,59,147,193,88,0
2014,NT310,647,647,226,421,0,68,121,183,178,80,9
2014,NT312,1349,1349,549,800,0,52,210,461,459,151,0
2014,NT313,2487,2487,994,1493,0,109,371,827,802,362,10
2014,NT314,2899,2899,1292,1607,0,280,768,972,647,213,7
2014,NT315,616,616,285,331,0,48,134,170,184,72,0
2014,NT316,1657,1657,770,887,0,100,252,522,503,259,13
2014,NT317,805,805,452,353,0,77,173,220,256,69,0
2014,NT318,1278,1278,637,641,0,98,192,287,481,218,0
2014,NT319,1646,1646,932,714,0,140,296,456,512,229,12
2014,NT320,1565,1565,643,922,0,70,248,515,503,214,7
2014,NT321,2146,2146,904,1242,0,141,343,748,682,221,6
2014,NT322,1641,1641,973,668,0,122,419,521,433,139,0
2014,NT324,2944,2944,1304,1640,0,271,616,1006,795,244,6
2014,NT325,2689,2689,1309,1380,0,145,329,684,904,596,25
2014,NT327,1637,1637,881,756,0,297,468,513,306,27,0
2014,NT332,3450,3450,1268,2182,155,356,753,1165,773,234,0
2014,NT333,3823,3823,1761,2062,0,258,808,1316,1131,305,0
2014,NT337,7214,7214,3296,3918,0,764,1344,2320,1836,902,43
2014,NT339,2264,2264,1050,1214,0,99,260,502,753,615,29
2014,NT343,432,432,165,267,0,39,96,134,116,25,0
2014,NT344,1347,1347,549,798,0,88,309,473,337,125,0
2014,NT345,1042,1042,471,571,0,85,174,296,335,147,0
2014,NT346,1581,1581,687,894,0,70,219,448,524,299,16
2014,NT347,4669,4669,2130,2539,0,332,771,1193,1451,884,30
2014,NT348,3504,3504,1591,1913,0,288,733,1175,983,303,10
2014,NT350,4152,4152,1738,2414,0,219,644,1324,1303,633,21
2014,NT351,7293,7293,2992,4301,10,410,1049,2418,2372,995,30
2014,NT364,1068,1068,451,617,0,70,243,296,311,133,0
2014,NT401,3705,3705,1775,1927,0,285,746,1198,1078,388,10
2014,NT402,2747,2747,1144,1600,0,157,437,755,902,473,20
2014,NT403,5392,5392,2013,3377,0,331,1008,1733,1651,648,19
2014,NT404,4845,4845,2122,2723,0,390,1168,1720,1221,331,13
2014,NT405,2466,2466,1136,1329,0,144,339,535,749,642,51
2014,NT406,1381,1381,664,717,0,160,357,399,330,125,0
2014,NT408,2373,2373,899,1474,0,169,375,561,743,498,24
2014,NT409,365,365,134,231,0,13,61,71,129,74,6
2014,NT410,1797,1797,832,938,0,132,322,550,577,208,0
2014,NT411,2726,2726,1167,1555,0,250,645,860,690,274,7
2014,NT412,2098,2098,1004,1093,0,123,340,638,692,290,10
2014,NT413,1557,1557,621,930,0,98,194,411,482,344,21
2014,NT414,1527,1527,659,868,0,86,206,378,495,336,20
2014,NT415,240,240,136,104,0,20,50,65,79,12,0
2014,NT416,977,977,223,715,0,79,277,359,163,82,0
2014,NT417,2415,2415,989,1417,0,129,364,681,851,370,17
2014,NT418,3308,3308,1417,1891,0,281,676,985,951,398,16
2014,NT419,1355,1355,696,659,0,40,138,283,414,439,38
2014,NT420,4221,4221,1976,2242,0,454,891,1351,1180,330,6
2014,NT421,1928,1928,761,1156,0,128,347,637,534,271,7
2014,NT422,3265,3265,1548,1715,0,498,1036,958,586,167,0
2014,NT423,780,780,339,438,0,43,160,263,220,84,0
2014,NT424,2564,2564,1203,1359,0,201,502,852,761,238,0
2014,NT427,1824,1824,760,1064,0,117,331,588,564,205,0
2014,NT428,834,834,351,483,0,85,187,306,180,43,0
2014,NT429,215,215,91,123,0,7,64,64,54,10,0
2014,NT430,3558,3558,1640,1918,0,191,471,769,1162,916,42
2014,NT431,1142,1142,467,674,0,74,206,338,373,144,0
2014,NT432,1249,1249,685,564,0,33,112,248,528,311,8
2014,NT433,1179,1179,523,655,0,50,199,353,370,192,10
2014,NT434,1416,1416,513,900,0,135,360,469,344,94,0
2014,NT435,723,723,342,369,0,48,142,223,220,77,0
2014,NT436,2401,2401,1003,1392,0,166,378,608,727,483,27
2014,NT437,181,181,81,100,0,6,46,60,43,20,0
2014,NT438,1553,1553,698,855,0,156,296,394,416,276,13
2014,NT439,1702,1702,741,961,0,136,386,576,462,133,0
2014,NT440,1440,1440,565,875,0,135,278,513,391,110,0
2014,NT441,2907,2907,1481,1425,0,241,597,930,860,266,7
2014,NT443,1447,1447,737,707,0,27,109,302,581,411,16
2014,NT445,2114,2114,891,1223,0,269,486,723,491,136,0
2014,NT446,1089,1089,545,543,0,52,142,267,392,224,6
2014,NT447,715,715,390,325,0,53,135,245,210,67,0
2014,NT448,1934,1934,1041,893,0,131,330,666,607,196,0
2014,NT449,1996,1996,863,1133,0,153,361,609,598,266,8
2014,NT450,1089,1089,586,503,0,82,104,256,428,214,0
2014,NT451,1734,1734,628,1103,0,151,356,559,448,198,12
2014,NT455,228,228,111,117,0,0,38,74,68,22,0
2014,NT457,3998,3998,1690,2303,0,275,675,1110,1203,711,22
2014,NT490,1250,1250,487,761,0,12,44,106,384,662,41
2014,NT497,3496,3496,1511,1960,0,194,602,1061,1114,509,14
2014,NTC01,210,210,105,105,0,0,28,61,70,40,0
2014,NTC02,424,424,188,236,0,45,76,87,117,85,0
2014,NTE02,4128,4128,1828,2294,0,182,486,1109,1464,863,20
2014,NTP11,17460,16266,7855,9605,0,2707,3829,4350,4090,2324,119
2014,NTP13,2633,2475,1236,1394,0,55,207,648,1221,495,6
2014,NTP15,8215,7452,3858,4345,0,865,1708,2190,2121,1276,37
2014,NTP16,4823,3885,2146,2677,0,207,461,884,1569,1606,85
2014,NTP23,1015,982,428,586,0,177,348,270,174,43,0
2014,NTP35,368,250,148,220,0,0,0,7,144,197,8
2014,NTPAD,7096,6449,3141,3954,0,449,1085,1792,2205,1501,54
2014,NTPAE,1470,1079,633,837,0,0,9,137,563,696,53
2014,NTPH1,7344,7344,3338,4006,0,316,780,1823,2627,1726,70
2014,NTPH2,11977,11977,5357,6620,0,1224,2194,2986,3354,2097,112
2014,NTPH3,5805,5805,2692,3113,0,665,1119,1657,1554,771,31
2014,NTPH4,2103,2103,1056,1047,0,296,547,641,479,133,0
2014,NTPH5,4201,4201,1810,2391,0,164,327,837,1575,1219,78
2014,NTPH9,28,28,15,13,0,7,0,0,0,0,0
2014,NTX01,5284,5284,2435,2849,0,385,1019,1745,1355,431,0
2014,NV302,4416,4416,1876,2540,0,298,698,1177,1431,779,26
2014,NV313,31013,31013,13818,17148,9,3397,5080,7973,8651,5297,356
2014,NV323,3738,3738,1651,2087,0,307,720,1095,1120,463,24
2014,NVC01,4167,4167,1783,2382,0,263,727,1335,1199,620,20
2014,NVC02,2461,2461,1001,1460,0,177,526,723,735,277,15
2014,NVC04,5125,5125,2455,2667,0,394,751,1233,1926,790,28
2014,NVC05,5570,5570,2434,3134,0,415,1157,1783,1700,489,20
2014,NVC06,6923,6923,2933,3989,0,574,1357,2040,1993,911,39
2014,NVC07,6418,6418,2862,3553,0,438,970,1694,2022,1237,52
2014,NVC08,4047,4047,1634,2412,0,275,715,1234,1339,458,17
2014,NVC09,4345,4345,1873,2471,0,226,711,1304,1464,609,21
2014,NVC11,2248,2248,912,1336,0,159,379,714,679,305,0
2014,NVC12,3868,3868,1856,2012,0,374,808,1394,966,279,10
2014,NVC13,5999,5999,2719,3272,0,441,910,1548,2099,962,34
2014,NVC14,738,738,238,499,0,54,104,275,245,55,0
2014,NVC15,3750,3750,1600,2150,0,268,688,1089,978,696,30
2014,NVC16,4107,4107,1718,2388,0,295,649,1274,1276,598,15
2014,NVC17,4204,4204,1677,2524,0,258,552,1122,1413,813,40
2014,NVC18,6234,6234,2941,3289,0,478,1018,1684,1958,1050,37
2014,NVC19,8195,8195,3427,4766,0,728,1557,2393,2322,1153,34
2014,NVC20,11082,11082,4938,6144,0,989,2266,3104,3071,1560,68
2014,NVC21,3777,3777,1497,2279,0,301,693,1113,1132,515,16
2014,NVC22,3073,3073,1326,1747,0,302,564,896,980,316,13
2014,NVC23,6003,6003,2573,3430,0,398,1040,1729,1861,934,38
2014,NVC24,4105,4105,1990,2115,0,241,446,812,1399,1120,85
2014,NVC25,2422,2422,1153,1268,0,118,273,702,928,392,7
2014,NVC27,3279,3279,1519,1760,0,180,448,789,1103,721,37
2014,NVC28,2900,2900,1300,1600,0,126,300,884,1153,421,8
2014,NVC29,4118,4118,1947,2171,0,474,919,1460,1003,246,8
2014,NVC31,2933,2933,1328,1605,0,177,482,814,888,534,33
2014,NVC35,6105,6105,2962,3139,0,661,1283,1923,1608,600,28
2014,NVC40,3784,3784,1650,2133,0,331,655,1060,1143,579,12
2014,NVC44,708,708,257,451,0,82,129,139,211,140,0
2014,NVG01,3935,3935,1859,2076,0,333,809,1128,1212,443,9
2014,NVM01,3608,1023,1555,2053,0,198,498,871,1008,925,105
2014,NVM02,1699,427,767,932,0,93,206,370,536,441,50
2014,NWF01,2128,645,904,1224,47,55,175,383,824,585,31
2014,NWX11,0,0,0,0,0,0,0,0,0,0,0
2014,NXM01,5007,5007,2006,3001,0,118,428,1148,2220,1058,28
2014,NXP04,86,86,64,22,0,0,11,38,7,0,0
2014,NXP08,0,0,0,0,0,0,0,0,0,0,0
2014,NXP13,28,28,9,19,0,0,0,7,0,0,0
2014,NXP15,19,19,0,0,0,0,0,0,0,0,0
2014,NXP16,15,15,9,6,0,0,0,0,0,0,0
2014,NXP17,37,37,23,14,0,0,7,0,0,0,0
2014,NXP18,8,8,8,0,0,0,0,0,0,0,0
2014,NXP20,42,42,12,30,0,0,8,6,0,0,0
2014,NXP21,38,38,38,0,0,0,25,0,0,0,0
2014,NXP27,0,0,0,0,0,0,0,0,0,0,0
2014,NY601,946,946,360,586,0,20,182,312,266,151,13
2014,NYW01,3369,1957,1339,2030,0,343,790,1090,783,324,19
2014,NYW02,306,244,132,174,0,42,78,90,66,11,0
2014,NYW03,642,441,268,374,0,79,164,213,138,41,0
2014,NYW04,3115,3115,1538,1577,0,170,575,991,954,400,11
2014,NYW17,874,597,315,559,0,0,0,63,295,477,32
2014,NYW20,92,66,35,57,0,0,8,10,13,19,0
2014,R1A,7252,6905,3950,3302,1275,1409,722,595,792,1834,625
2014,R1C,2406,2278,1162,1242,151,204,376,315,332,721,284
2014,R1D,3064,3063,1322,1742,768,59,100,129,413,1171,412
2014,R1E,9828,9720,3670,6157,0,229,587,1606,2818,3719,854
2014,R1F0X,28358,24484,12910,15448,3792,2666,2689,3671,6365,7334,1556
