YEAR,ORG_CODE,BEDS,BEDS_OCCUPIED_PERCENT
2010,RV5,924,0.96
2010,RV8,714,0.86
2010,RVL,896,0.81
2010,RVR,861,0.78
2010,RWK,665,0.92
2010,RYJ,1307,0.78
2010,RYQ,1232,0.88
2010,TAF,262,0.86
2010,5L3,15,0.73
2010,5P5,301,0.84
2010,5P6,313,0.91
2010,5QA,168,0.88
2010,RA2,512,0.84
2010,RDR,135,0.92
2010,RDU,603,0.87
2010,RN7,435,0.93
2010,RPA,598,0.87
2010,RPC,64,0.98
2010,RTK,575,0.87
2010,RTP,546,0.94
2010,RVV,1123,0.95
2010,RWF,729,0.91
2010,RX2,652,0.87
2010,RXC,917,0.86
2010,RXH,868,0.87
2010,RXX,421,0.75
2010,RXY,633,0.91
2010,RYR,956,0.91
2010,5CQ,103,0.89
2010,5L1,251,0.83
2010,5QC,65,0.94
2010,5QD,21,0.68
2010,5QE,238,0.71
2010,5QF,12,0.74
2010,5QG,41,0.83
2010,5QT,380,0.77
2010,RBF,137,0.77
2010,RD7,695,0.78
2010,RD8,468,0.86
2010,RHM,999,0.96
2010,RHU,1119,0.79
2010,RHW,702,0.83
2010,RN1,394,0.84
2010,RN5,464,0.75
2010,RNU,438,0.91
2010,RTH,1262,0.89
2010,RW1,754,0.80
2010,RWX,260,0.79
2010,RXQ,675,0.83
2010,5F1,244,0.90
2010,5K3,56,0.87
2010,5QH,69,0.97
2010,5QK,139,0.74
2010,5QL,353,0.88
2010,5QM,156,0.80
2010,5QN,50,0.92
2010,5QP,188,0.91
2010,5QQ,98,0.65
2010,RA3,310,0.92
2010,RA4,383,0.79
2010,RA7,874,0.82
2010,RA9,536,0.67
2010,RBA,605,0.74
2010,RBB,60,0.85
2010,RBD,397,0.87
2010,RBZ,409,0.85
2010,RD1,610,0.91
2010,RD3,647,0.81
2010,RDZ,743,0.83
2010,REF,721,0.85
2010,RH5,180,0.85
2010,RH8,803,0.85
2010,RJ8,141,0.91
2010,RK9,951,0.86
2010,RN3,557,0.89
2010,RNZ,502,0.88
2010,RTE,1081,0.83
2010,RTQ,206,0.80
2010,RVJ,1178,0.83
2010,RVN,691,0.79
2010,RWV,281,0.82
2011, 5KG ,6,0.81
2011, 5KL ,12,0.76
2011, RE9 ,416,0.83
2011, RLN ,839,0.79
2011, RR7 ,556,0.81
2011, RTD ,1602,0.83
2011, RTF ,1207,0.78
2011, RTR ,1150,0.84
2011, RVW ,655,0.79
2011, RX3 ,846,0.93
2011, RX4 ,1167,0.86
2011, RXP ,1110,0.80
2011, 5NH ,0,0.00
2011, RBL ,756,0.82
2011, RBN ,703,0.91
2011, RBQ ,146,0.78
2011, RBS ,207,0.74
2011, RBT ,560,0.85
2011, RBV ,168,0.81
2011, REM ,709,0.96
2011, REN ,81,0.62
2011, REP ,170,0.72
2011, RET ,135,0.85
2011, RJN ,371,0.87
2011, RJR ,594,0.72
2011, RJX ,237,0.92
2011, RM2 ,869,0.85
2011, RM3 ,696,0.86
2011, RM4 ,201,0.90
2011, RMC ,647,0.83
2011, RMP ,476,0.87
2011, RNL ,604,0.84
2011, RQ6 ,814,0.89
2011, RRF ,536,0.83
2011, RT2 ,540,0.84
2011, RTV ,334,0.88
2011, RTX ,783,0.85
2011, RVY ,489,0.84
2011, RW3 ,1041,0.80
2011, RW4 ,420,0.85
2011, RW5 ,659,0.84
2011, RW6 ,1650,0.79
2011, RWJ ,767,0.84
2011, RWW ,611,0.86
2011, RXA ,336,0.82
2011, RXL ,773,0.94
2011, RXN ,971,0.89
2011, RXR ,926,0.80
2011, RXV ,628,0.90
2011, RY1 ,0,0.00
2011, TAE ,251,0.90
2011, 5N4 ,31,0.89
2011, 5NV ,291,0.83
2011, RAE ,736,0.76
2011, RCB ,743,0.86
2011, RCC ,346,0.88
2011, RCD ,325,0.83
2011, RCF ,345,0.83
2011, RCU ,156,0.68
2011, RFF ,553,0.79
2011, RGD ,375,0.89
2011, RJL ,887,0.70
2011, RP5 ,1075,0.81
2011, RR8 ,2163,0.85
2011, RV9 ,238,0.82
2011, RWA ,1283,0.84
2011, RWY ,774,0.80
2011, RXE ,304,0.87
2011, RXF ,1134,0.78
2011, RXG ,582,0.86
2011, RY6 ,38,0.91
2011, TAD ,211,0.96
2011, 5PD ,106,0.85
2011, RFS ,572,0.91
2011, RHA ,1226,0.86
2011, RK5 ,679,0.89
2011, RNQ ,574,0.91
2011, RNS ,678,0.89
2011, RP1 ,252,0.85
2011, RP7 ,242,0.97
2011, RT5 ,481,0.86
2011, RTG ,1008,0.82
2011, RWD ,1254,0.86
2011, RWE ,1692,0.83
2011, RX1 ,1561,0.83
2011, RXM ,299,0.98
2011, RY5 ,60,0.92
2011, RY8 ,164,0.79
2011, 5M2 ,113,0.91
2011, 5MV ,73,0.86
2011, 5PG ,14,0.86
2011, 5PH ,152,0.94
2011, 5PJ ,177,0.97
2011, 5PK ,6,0.33
2011, 5PL ,84,0.93
2011, RBK ,530,0.85
2011, RJC ,571,0.92
2011, RJD ,425,0.78
2011, RJE ,1028,0.90
2011, RJF ,412,0.86
2011, RKB ,1152,0.89
2011, RL1 ,196,0.67
2011, RL4 ,760,0.88
2011, RLQ ,261,0.86
2011, RLT ,324,0.92
2011, RLU ,138,0.63
2011, RLY ,255,0.85
2011, RNA ,850,0.67
2011, RQ3 ,257,0.88
2011, RR1 ,1494,0.92
2011, RRE ,442,0.77
2011, RRJ ,126,0.76
2011, RRK ,1088,0.95
2011, RWP ,924,0.79
2011, RWQ ,201,0.83
2011, RXK ,914,0.87
2011, RXT ,721,0.83
2011, RXW ,808,0.96
2011, RYG ,398,0.88
2011, RYK ,201,0.65
2011, RYW ,268,0.90
2011, TAJ ,177,0.76
2011, 5P2 ,0,0.00
2011, 5PT ,14,0.85
2011, 5PV ,84,0.95
2011, RAJ ,645,0.78
2011, RC1 ,376,0.87
2011, RC9 ,612,0.86
2011, RCX ,505,0.86
2011, RDD ,599,0.93
2011, RDE ,662,0.85
2011, RGM ,225,0.82
2011, RGN ,599,0.75
2011, RGP ,432,0.83
2011, RGQ ,616,0.87
2011, RGR ,614,0.57
2011, RGT ,929,0.89
2011, RM1 ,956,0.88
