DATE,ORG_CODE,RTT_SCORE
Mar-18,NYW04,97.74
Mar-18,NYW17,97.55
Mar-18,R0A,89.18
Mar-18,R1A,96.23
Mar-18,R1C,99.52
Mar-18,R1D,90.50
Mar-18,R1E,98.68
Mar-18,R1F,82.71
Mar-18,R1K,81.32
Mar-18,R1L,96.61
Mar-18,RA2,88.89
Mar-18,RA3,89.83
Mar-18,RA4,86.91
Mar-18,RA7,86.46
Mar-18,RA9,81.89
Mar-18,RAE,74.30
Mar-18,RAJ,85.16
Mar-18,RAL,83.71
Mar-18,RAN,87.92
Mar-18,RAP,91.57
Mar-18,RAS,88.55
Mar-18,RAT,99.18
Mar-18,RAX,93.14
Mar-18,RBA,79.66
Mar-18,RBD,86.40
Mar-18,RBK,83.98
Mar-18,RBL,74.60
Mar-18,RBN,93.28
Mar-18,RBQ,87.78
Mar-18,RBS,91.70
Mar-18,RBT,91.66
Mar-18,RBV,98.42
Mar-18,RC1,88.62
Mar-18,RC9,88.47
Mar-18,RCB,83.91
Mar-18,RCD,89.35
Mar-18,RCF,91.91
Mar-18,RCU,91.85
Mar-18,RCX,80.43
Mar-18,RD1,84.15
Mar-18,RD3,86.10
Mar-18,RD8,84.71
Mar-18,RDD,80.68
Mar-18,RDE,83.42
Mar-18,RDR,97.21
Mar-18,RDU,90.05
Mar-18,RDY,95.49
Mar-18,RDZ,87.41
Mar-18,RE9,96.15
Mar-18,REF,80.12
Mar-18,REM,90.52
Mar-18,REN,96.88
Mar-18,REP,88.05
Mar-18,RET,89.26
Mar-18,RF4,86.75
Mar-18,RFF,92.72
Mar-18,RFR,92.62
Mar-18,RFS,91.09
Mar-18,RGM,82.78
Mar-18,RGN,88.29
Mar-18,RGP,85.19
Mar-18,RGQ,88.15
Mar-18,RGR,89.11
Mar-18,RGT,87.38
Mar-18,RH5,99.02
Mar-18,RH8,84.51
Mar-18,RHM,85.70
Mar-18,RHQ,94.21
Mar-18,RHU,85.93
Mar-18,RHW,91.01
Mar-18,RJ1,88.45
Mar-18,RJ2,87.10
Mar-18,RJ6,91.10
Mar-18,RJ8,100.00
Mar-18,RJC,89.88
Mar-18,RJE,73.04
Mar-18,RJF,91.28
Mar-18,RJL,68.05
Mar-18,RJN,86.12
Mar-18,RJR,88.36
Mar-18,RJZ,80.44
Mar-18,RK5,87.81
Mar-18,RK9,81.42
Mar-18,RKB,81.26
Mar-18,RKE,91.63
Mar-18,RL1,83.14
Mar-18,RL4,89.01
Mar-18,RLN,92.35
Mar-18,RLQ,73.74
Mar-18,RLT,82.83
Mar-18,RM1,83.17
Mar-18,RM3,89.70
Mar-18,RMC,87.00
Mar-18,RMP,91.18
Mar-18,RN3,85.79
Mar-18,RN5,89.45
Mar-18,RN7,91.17
Mar-18,RNA,92.33
Mar-18,RNL,83.05
Mar-18,RNN,89.83
Mar-18,RNQ,76.59
Mar-18,RNS,87.08
Mar-18,RNZ,91.84
Mar-18,RP1,100.00
Mar-18,RP4,88.59
Mar-18,RP5,87.79
Mar-18,RP6,93.03
Mar-18,RP7,94.68
Mar-18,RPA,78.98
Mar-18,RPC,84.53
Mar-18,RPG,97.28
Mar-18,RPY,97.99
Mar-18,RQ3,90.65
Mar-18,RQ6,81.82
Mar-18,RQM,92.63
Mar-18,RQW,87.92
Mar-18,RQX,95.03
Mar-18,RQY,98.54
Mar-18,RR1,87.69
