DATE,ORG_CODE,ACUTE_DTOC,NON_ACUTE_DTOC,TOTAL_DTOC
Aug-18,RTF,0.258064516,1.258064516,1.516129032
Aug-18,RTG,10.25806452,11.80645162,22.06451614
Aug-18,RTH,43.29032258,0,43.29032258
Aug-18,RTK,6.225806452,0.64516129,6.870967742
Aug-18,RTP,11,0,11
Aug-18,RTQ,0,0.774193548,0.774193548
Aug-18,RTR,33.45161291,7.419354841,40.87096775
Aug-18,RTV,0,6,6
Aug-18,RTX,8.967741935,0,8.967741935
Aug-18,RV3,0,11.74193549,11.74193549
Aug-18,RV5,0,6.225806451,6.225806451
Aug-18,RV9,0,6.290322581,6.290322581
Aug-18,RVJ,22.19354839,0,22.19354839
Aug-18,RVN,0,6.935483872,6.935483872
Aug-18,RVR,7.870967742,0,7.870967742
Aug-18,RVV,50,0,50
Aug-18,RVW,15.38709678,0,15.38709678
Aug-18,RVY,5.41935484,0,5.41935484
Aug-18,RW1,0,15.25806452,15.25806452
Aug-18,RW4,0,23.32258065,23.32258065
Aug-18,RW5,0,3,3
Aug-18,RW6,22.80645162,0,22.80645162
Aug-18,RWA,14.90322581,0,14.90322581
Aug-18,RWD,30.51612903,0,30.51612903
Aug-18,RWE,22.90322581,0,22.90322581
Aug-18,RWF,20.61290323,0,20.61290323
Aug-18,RWG,13.77419355,0,13.77419355
Aug-18,RWH,9.967741938,0,9.967741938
Aug-18,RWJ,7.064516129,1.838709678,8.903225807
Aug-18,RWK,0,3.258064517,3.258064517
Aug-18,RWP,17.61290323,0,17.61290323
Aug-18,RWR,0,21.19354839,21.19354839
Aug-18,RWV,0,7.548387097,7.548387097
Aug-18,RWW,14.67741936,0,14.67741936
Aug-18,RWX,0,6.258064516,6.258064516
Aug-18,RWY,5.483870968,3.032258064,8.516129032
Aug-18,RX1,17.03225807,0.741935485,17.77419355
Aug-18,RX2,0,19.22580645,19.22580645
Aug-18,RX3,0,13.90322581,13.90322581
Aug-18,RX4,0,8.258064516,8.258064516
Aug-18,RXA,0,9.419354839,9.419354839
Aug-18,RXC,20.61290323,3.419354839,24.03225807
Aug-18,RXE,0,10,10
Aug-18,RXF,43.77419355,1.419354839,45.19354839
Aug-18,RXG,0,4.387096774,4.387096774
Aug-18,RXH,35.83870968,1.870967742,37.70967742
Aug-18,RXK,9.903225807,0,9.903225807
Aug-18,RXL,5.903225808,3.548387099,9.451612907
Aug-18,RXM,0,1,1
Aug-18,RXN,17.19354839,0,17.19354839
Aug-18,RXP,4.290322581,3.35483871,7.645161291
Aug-18,RXQ,11.38709678,14.83870968,26.22580645
Aug-18,RXR,8.161290323,9.322580646,17.48387097
Aug-18,RXT,0,16.25806452,16.25806452
Aug-18,RXV,0,7.29032258,7.29032258
Aug-18,RXW,8.096774194,0,8.096774194
Aug-18,RXX,0,4.387096774,4.387096774
Aug-18,RXY,0,14.58064516,14.58064516
Aug-18,RY3,0,10.03225807,10.03225807
Aug-18,RY4,0,24.03225806,24.03225806
Aug-18,RY5,0,5.29032258,5.29032258
Aug-18,RY6,0,0,0
Aug-18,RY8,0,6.258064517,6.258064517
Aug-18,RY9,0,2.903225807,2.903225807
Aug-18,RYG,0,8.870967743,8.870967743
Aug-18,RYJ,18.38709678,0,18.38709678
Aug-18,RYK,0,3.419354839,3.419354839
Aug-18,RYR,36.4516129,0,36.4516129
Aug-18,RYW,0,22.45161291,22.45161291
Aug-18,RYX,0,4.903225806,4.903225806
Aug-18,RYY,0,7.032258063,7.032258063
Aug-18,TAD,0,1,1
Aug-18,TAF,0,2.387096773,2.387096773
Aug-18,TAH,0,0,0
Aug-18,TAJ,0,0.129032258,0.129032258
