ORG_CODE,YEAR,FINANCIAL_POSITION,OP_INCOME,OP_COST
RBS,2013,16765.7975,193475,-178506.2025
RBT,2013,1249,183514,-196135
RBV,2013,16396,221138,-205633
RBZ,2013,2240,225787,-221702
RC1,2013,-8703,158810,-165007
RC3,2013,220,250871,-247657
RC9,2013,238.8315,244452.9462,-241265.6614
RCB,2013,2738,443835,-437917
RCD,2013,5773,187949,-184660
RCF,2013,1056,146963,-145279
RCU,2013,2414,159611,-155369
RCX,2013,-12729,166165,-176589
RD1,2013,5206,240945,-230666
RD3,2013,255,210640,-208373
RD7,2013,-9564.22,252925,-259392.22
RD8,2013,-16758.18,173134.82,-185501
RDD,2013,-8701,288356,-290153
RDE,2013,-1760,268897,-266442
RDR,2013,1892,194696,-193531
RDU,2013,7606,291895,-280945
RDY,2013,2559,242483,-240077
RDZ,2013,173,260756,-256289
RE9,2013,-1024.043,214762,-213982.043
REF,2013,3938,332819,-334563
REM,2013,7097,297195,-286857
REN,2013,9483.6079,97879.6153,-88520.5529
REP,2013,266.736,94260.736,-92313
RET,2013,1342,97785,-95286
RF4,2013,-37754,457495,-469474
RFF,2013,-7420,169730,-177650
RFR,2013,-545,235112,-235997
RFS,2013,2074,210587,-205243
RFW,2013,-5014,154980,-153293
RGD,2013,8699,179946,-166591
RGM,2013,5333.544,142494.459,-135950.915
RGN,2013,-36757,233149,-258433
RGP,2013,2272.2114,174276.6152,-171278.4453
RGQ,2013,50,249439,-243120
RGR,2013,-3639,172283,-173855
RGT,2013,-8392,702673,-698194
RH5,2013,4917,158499,-169617
RH8,2013,-3111,384723,-386609
RHA,2013,10033,436891,-413391
RHM,2013,868,618066,-609795
RHQ,2013,8610,932870,-912723
RHU,2013,830,469094,-448725
RHW,2013,-6593.3265,343755,-344018.3265
RJ1,2013,24812.1132,1241256.113,-1198417
RJ2,2013,242,382097,-372096
RJ6,2013,-19683,244595,-264414
RJ7,2013,6032,664717,-649212
RJ8,2013,2072,87192,-85732
RJC,2013,2109,226834,-222741
RJD,2013,-24830,159203,-180478
RJE,2013,-19301,475330,-480233
RJF,2013,-1694,180149,-179196
RJL,2013,-5271,321010,-323116
RJN,2013,262,180080,-178241
RJR,2013,766,201450,-209774
RJX,2013,230,64420,-62849
RJZ,2013,-3145,892054,-871875
RK5,2013,-23501.8293,266158.1707,-269808
RK9,2013,-12988,410207,-412617
RKB,2013,214,528881,-491842
RKE,2013,1165,297397,-294953
RKL,2013,5668,231518,-234968
RL1,2013,1628,91115,-88222
RL4,2013,7891,394045,-376070
RLN,2013,-373,324315,-321043
RLQ,2013,1029,173450,-169731
RLT,2013,-10165,126638,-135190
RLU,2013,964,92838,-91114
RLY,2013,31,87471,-85880
RM1,2013,5212,479877,-446438
RM2,2013,-146,491063,-482408
RM3,2013,5834.6284,460694.1204,-437749.9241
RMC,2013,-7778,284241,-288872
RMP,2013,-3618,166465,-161419
RMY,2013,1819.404,216823,-210444.59
RN3,2013,97.2794,308102.4,-309166.9206
RN5,2013,259,343893,-341186
RN7,2013,1834,209942,-195394
RNA,2013,-2437,316868,-306466
RNK,2013,1337,40367,-38930
RNL,2013,-27133,230580,-242845
RNN,2013,-146,174040,-179050
RNQ,2013,-6503,200360,-205946
RNS,2013,197,276894,-270616
RNU,2013,2881.7407,286069.3829,-286373.4777
RNZ,2013,2925,199493,-191321
RP1,2013,-342,180130,-178768
RP4,2013,28780,413910,-374052
RP5,2013,1401,350910,-342053
RP6,2013,9282.7062,173865.0831,-162517.816
RP7,2013,553,100480,-99211
RPA,2013,-10361,252793,-258376
RPC,2013,2758,62394,-61351
RPG,2013,3457.7829,213009,-219565
RPY,2013,1656,337156,-330753
RQ3,2013,8599,246098,-235249
RQ6,2013,11025,457382,-494821
RQ8,2013,-19348,261638,-266955
RQM,2013,6230,365972,-348145
RQQ,2013,0,111639,-107717
RQW,2013,-16403,177739,-191389
RQX,2013,743.47,261249.4,-257657.93
RQY,2013,1953,160043,-151601
RR1,2013,-1288,635943,-636829
RR7,2013,-736.607,203425.986,-216767.934
RR8,2013,1615,1044916,-1021654
RRD,2013,-10340,112749,-124902
RRE,2013,4131,178507,-172323
RRF,2013,3249,262465,-263354
RRJ,2013,2258,76245,-75461
RRK,2013,4940,715889,-665284
RRP,2013,595,192748,-189011
RRU,2013,262,303827,-298722
RRV,2013,4060.4774,912630.2765,-855804.2386
RT1,2013,-199,124997,-127128
RT2,2013,4617,283615,-279859
RT3,2013,4540.51,339932,-333090.49
RT5,2013,2911,267367,-259477
RTD,2013,14087,944807,-892142
RTE,2013,3543.85,466682,-443371.15
RTF,2013,-36757,449475,-490746
RTG,2013,-8247.255,470551.067,-471509.322
RTH,2013,10895,868346,-823359
RTK,2013,1392,245897,-239161
RTP,2013,298,231702,-227900
RTQ,2013,1093,106915,-103617
RTR,2013,-4971,550547,-537404
RTV,2013,2974,152019,-153746
RTX,2013,-18809,270558,-285417
RV3,2013,419.2326,439471.1271,-433227.8413
RV5,2013,6481,363357,-373220
RV8,2013,-23334,418023,-435526
RV9,2013,3185.4,132586,-129369.5
RVJ,2013,5605,541376,-697389
RVL,2013,-15836,339640,-345988
RVN,2013,2784,197437,-187431
RVR,2013,-7400,356010,-366233
RVV,2013,4373.11,525844.4,-511902.29
RVW,2013,2702.576,278576.3,-271824.9202
RVY,2013,1950,189224,-184360
RW1,2013,1296,353918,-348539
RW3,2013,6409,921952,-892432
RW4,2013,4750,207876,-202902
RW5,2013,4658,325416,-316718
RW6,2013,53,567664,-565395
RWA,2013,5943,506703,-493672
RWD,2013,-25813,425524,-445793
RWE,2013,-39655,770393,-799271
RWF,2013,-12374,375714,-388167
RWG,2013,-13370,291119,-298331
RWH,2013,109.1,365313,-359973.9063
RWJ,2013,953.8811,293744.3842,-288848.3531
RWK,2013,7500,276647,-265459
RWN,2013,1030.8429,324531,-319205.1571
RWP,2013,-14191,346029,-347324
RWR,2013,2290,198408,-194736
RWV,2013,3392,131775,-126799
RWW,2013,-2301,212729,-211534
RWX,2013,2396.9578,222197.4522,-215764.4944
RWY,2013,2611.4056,353634.4978,-339235.5995
RX1,2013,701,847938,-839175
RX2,2013,4130.0707,246709.7917,-236803.0958
RX3,2013,11712,290974,-269538
RX4,2013,3235,301260,-393744
RX6,2013,1296,114694,-113558
RX7,2013,2786,261944,-259421
RX8,2013,2633,233384,-228595
RX9,2013,61,150131,-147868
RXA,2013,2553,159545,-155725
RXC,2013,-23094,364240,-391123
RXE,2013,1964,167275,-164847
RXF,2013,-19171,456810,-462654
RXG,2013,6526.421,235755.172,-230625.859
RXH,2013,5114,558555,-558345
RXK,2013,6751,439022,-434462
RXL,2013,2276.15,373205,-380418.85
RXM,2013,1870,127549,-123801
RXN,2013,-2226,415237,-414689
RXP,2013,3894,506430,-485828
RXQ,2013,320,359449,-337207
RXR,2013,6600,420579,-410416
RXT,2013,2929.0341,241377.0274,-225499.8262
RXV,2013,8416.1837,157587,-149177.8163
RXW,2013,65,314106,-311421
RXX,2013,5620,155808,-151580
RXY,2013,1607,174924,-171605
RY1,2013,3008,139252,-136296
RY2,2013,1601,147310,-145740
RY3,2013,4630,123266,-120137
RY4,2013,1460,130747,-129314
RY5,2013,1825,109612,-107814
RY6,2013,1425,142863,-140189
RY7,2013,923,69760,-78130
RY8,2013,2892,183711,-181357
RY9,2013,2792,64212,-61908
RYA,2013,2665,213061,-209779
RYC,2013,379,237725,-239309
RYD,2013,-175,189438,-187068
RYE,2013,1687,162410,-158881
RYF,2013,3162,225618,-223335
RYG,2013,6798,206256,-197380
RYH,2013,-25109,78876,-109546
RYJ,2013,15128,979312,-1062284
RYK,2013,1936,65388,-59771
RYQ,2013,-20243,232197,-341025
RYR,2013,1364,385925,-383766
RYV,2013,777,157589,-156789
RYW,2013,3282,255301,-252325
RYX,2013,1735,196191,-194326
RYY,2013,2511,229527,-227063
TAD,2013,3524,131540,-127988
TAE,2013,29,104676,-104230
TAF,2013,6582,137627,-132978
TAH,2013,3399,130030,-125985
TAJ,2013,1068.194,102616.5777,-102483.8995
R1A,2014,2828,171461,-166825
R1C,2014,-6274,187240,-190164
R1D,2014,352,75286,-74448
R1E,2014,-3747,372486,-373167
R1F,2014,15,174386,-173587
R1G,2014,3822,155667,-152022
R1H,2014,-79642,1319964,-1393951
R1J,2014,1508,114111,-110079
R1K,2014,-24935,346730,-370220
RA2,2014,2824,316528,-309247
RA3,2014,-3902,100378,-102955
RA4,2014,-7443.03,120671.59,-129768.62
RA7,2014,13864,589337,-594496
RA9,2014,-3024,245216,-250464
RAE,2014,3557,364576,-359492
RAJ,2014,-9834.041,273875.048,-279156.34
RAL,2014,-1175,918785,-908971
RAN,2014,235,130490,-129067
RAP,2014,415,244386,-235089
RAS,2014,829.7,221828.7,-225839
RAT,2014,-1054,338924,-336664
RAX,2014,264.5873,225623.7909,-223264.1606
RBA,2014,254,260633,-255137
RBB,2014,-1505,16550,-18145
RBD,2014,-492.7004,158349.451,-156608.1514
RBK,2014,-12861,239491,-246564
RBL,2014,-4681,306325,-306519
RBN,2014,-2551,301674,-285797
RBQ,2014,-334,121918,-117288
RBS,2014,16769,210032,-191736
RBT,2014,-775,191667,-191720
RBV,2014,1496,235854,-224529
RBZ,2014,2337,234685,-229120
RC1,2014,-19754,164094,-180919
RC3,2014,-9067,123935,-130923
RC9,2014,65.9413,259682.286,-256138.3447
RCB,2014,-1884,453338,-452527
RCD,2014,10,186810,-185114
RCF,2014,58,157701,-159342
RCU,2014,-172,166549,-164206
RCX,2014,-14802,166006,-178234
RD1,2014,1657,266487,-265341
RD3,2014,-3435,215781,-218011
RD7,2014,-11846.54,131037,-141311.54
RD8,2014,-24884.817,179308.638,-199596.236
RDD,2014,-23738,294374,-311361
RDE,2014,-22174,267714,-284670
RDR,2014,951,197091,-195519
RDU,2014,361,465294,-460482
RDY,2014,-591,246001,-243355
RDZ,2014,-5112,266539,-267555
RE9,2014,-2692,208235,-209072
REF,2014,-6908,342503,-360734
REM,2014,84,314011,-311428
REN,2014,8350.2325,101858.3194,-93319.412
REP,2014,-2725,97266,-98070
RET,2014,1051,101064,-100457
RF4,2014,-37950,477993,-475141
RFF,2014,-11800,172950,-183157
RFR,2014,139,242705,-240019
RFS,2014,503,213716,-207095
RFW,2014,-7833,167388,-168338
RGD,2014,6625,179500,-169571
RGM,2014,-838,144304,-183704
RGN,2014,-38521,247782,-273442
RGP,2014,288.5093,179925.9684,-178137.1354
RGQ,2014,-11893,250597,-256732
RGR,2014,-5087,173243,-176858
RGT,2014,-16889,707688,-709845
RH5,2014,508,166951,-161644
RH8,2014,-11218,399133,-403751
RHA,2014,8298,446326,-420335
RHM,2014,5093,674530,-657129
RHQ,2014,10384,1002148,-980748
RHU,2014,-2912,484463,-474148
RHW,2014,-8702.6864,355110,-358098.6864
RJ1,2014,28878,1289856,-1238579
RJ2,2014,-8482,517522,-510137
RJ6,2014,-27532,246279,-267758
RJ7,2014,-14115,711059,-716895
RJ8,2014,634,87116,-83943
RJC,2014,139,237642,-234676
RJD,2014,-41187,90817,-129848
RJE,2014,3782,623835,-611584
RJF,2014,-10443,183452,-190421
RJL,2014,-19638,331060,-348916
RJN,2014,109,183791,-182406
RJR,2014,-2944,215566,-215204
RJX,2014,218,46673,-45372
RJZ,2014,-47530.3838,1083781.616,-1099712
RK5,2014,-32597,284136,-280196
RK9,2014,-4989,430817,-426217
RKB,2014,-16900,550196,-529716
RKE,2014,-7342,295007,-297694
RKL,2014,9381,226463,-210569
RL1,2014,1024,93725,-92288
RL4,2014,3663,461810,-446709
RLN,2014,-7896,336374,-337895
RLQ,2014,844,182637,-178796
RLT,2014,367,141292,-139338
RLU,2014,47,94657,-93491
RLY,2014,768,75502,-73356
RM1,2014,-9615,515172,-496230
RM2,2014,-2876.528,476029.468,-458896
RM3,2014,-3027.063,479571.8293,-480029.5444
RMC,2014,560,291562,-309474
RMP,2014,-18527,159482,-171096
RMY,2014,-3567,212831,-211681
RN3,2014,-8563.4,300764.3,-294438.4
RN5,2014,-850,345645,-344879
RN7,2014,235,226116,-212121
RNA,2014,-7958,326396,-321236
RNK,2014,543.8,41444,-40568.2
RNL,2014,-16442,262174,-288958
RNN,2014,-5300,173772,-177961
RNQ,2014,-6921.9,206670,-210898.9
RNS,2014,-16525,270358,-286144
RNU,2014,-3733.0856,288335.8785,-297063.8216
RNZ,2014,-621,203686,-199862
RP1,2014,-378,182153,-177425
RP4,2014,18230,412609,-401449
RP5,2014,1619,355490,-349098
RP6,2014,4400.3217,197959.6703,-226578.2585
RP7,2014,368,105573,-104246
RPA,2014,-33975,255359,-281114
RPC,2014,2261,62866,-59613
RPG,2014,3380,229791,-231508
RPY,2014,3373.1576,360128.8678,-354180.4552
RQ3,2014,4493,249349,-244632
RQ6,2014,11225,483175,-469669
RQ8,2014,-33352,281103,-284279
RQM,2014,2368,377967,-363465
RQQ,2014,-13993,111052,-120948
RQW,2014,-21998,190478,-209159
RQX,2014,397.8356,269937.6186,-268407.783
RQY,2014,1642,159702,-152788
RR1,2014,-5609,647573,-648267
RR7,2014,-3424.411,212179.408,-224362.492
RR8,2014,-24386,1086638,-1084281
RRD,2014,-1265,109702,-124623
RRE,2014,5298,175883,-172336
RRF,2014,-818.019,268198,-272907.019
RRJ,2014,-432,80377,-77660
RRK,2014,13397,743145,-705078
RRP,2014,-4555,192988,-204957
RRU,2014,6048,324052,-314318
RRV,2014,2472.9575,945944.232,-895755.7889
RT1,2014,-398,126857,-123323
RT2,2014,1205,284658,-277641
RT3,2014,162,370392,-366301
RT5,2014,2626,273950,-269215
RTD,2014,6498,1008766,-935917
RTE,2014,1419.2258,481387.3,-483863.7742
RTF,2014,14226,461368,-449057
RTG,2014,-21231.2962,487991,-533026.2962
RTH,2014,11492,916255,-898772
RTK,2014,481.115,262813.956,-258251.57
RTP,2014,-2374,244007,-242442
RTQ,2014,92,106373,-103958
RTR,2014,-12679,578776,-577510
RTV,2014,-1311,152852,-150969
RTX,2014,-27140,275317,-298663
RV3,2014,-2281.1571,451230.6124,-446771.2295
RV5,2014,2482,370125,-369779
RV8,2014,-21884,210244,-232985
RV9,2014,-506,131808,-129996
RVJ,2014,-19740,552911,-547390
RVL,2014,-16134,75651,-95061
RVN,2014,2810,198530,-187999
RVR,2014,78,365769,-370648
RVV,2014,-8112.5,534155,-532247.5
RVW,2014,-3995.702,285547.3603,-276000.8097
RVY,2014,-896,188905,-190036
RW1,2014,-7460.2644,345531.7005,-344207.1187
RW3,2014,18580,1058577,-933573
RW4,2014,6335,206903,-196169
RW5,2014,-1335,326763,-334409
RW6,2014,14,582684,-579752
RWA,2014,2926,526559,-511503
RWD,2014,-15161,433250,-442052
RWE,2014,-40648,834376,-870793
RWF,2014,157,403310,-398943
RWG,2014,-13837,313291,-329769
RWH,2014,-3613,376050,-392544
RWJ,2014,-312.1,307791.4,-299024
RWK,2014,4748,268758,-258133
RWN,2014,1316,324818,-317028
RWP,2014,-25918,364656,-382582
RWR,2014,29,201343,-206272
RWV,2014,1287,132205,-130592
RWW,2014,-5774,219977,-222256
RWX,2014,-236.4917,226106.5478,-222366.0395
RWY,2014,-4579.2619,354720.5982,-348632.524
RX1,2014,750,874090,-851987
RX2,2014,5752.9099,255172.2723,-239282.4026
RX3,2014,11174,294582,-281129
RX4,2014,6817,314978,-340052
RX6,2014,-896,115648,-115637
RX7,2014,513,266952,-266539
RX8,2014,2991,241328,-236652
RX9,2014,65,155124,-156652
RXA,2014,720.813,154992.34,-157781
RXC,2014,88,384876,-376158
RXE,2014,1046,162340,-157040
RXF,2014,-9056,483428,-483245
RXG,2014,2822.054,237742,-232222.946
RXH,2014,-450,520765,-511840
RXK,2014,4653,446590,-434568
RXL,2014,-4281,373540,-376561
RXM,2014,1818,131433,-127720
RXN,2014,-2770,440108,-447962
RXP,2014,-4275,504179,-478137
RXQ,2014,-7446,369844,-372861
RXR,2014,1342,435107,-424226
RXT,2014,668.6262,241655.7471,-232401.8919
RXV,2014,8923.694,166537.694,-156452
RXW,2014,-12130,316794,-331237
RXX,2014,7217,156867,-147588
RXY,2014,902,178674,-172750
RY1,2014,8,135747,-135803
RY2,2014,-1580,148005,-149164
RY3,2014,2628,123796,-118990
RY4,2014,2129,140852,-137743
RY5,2014,1274,110487,-109200
RY6,2014,2007,146668,-143932
RY7,2014,875,70007,-68045
RY8,2014,1631,162999,-159130
RY9,2014,679,65816,-64593
RYA,2014,4342,234838,-230768
RYC,2014,1251,245982,-243683
RYD,2014,949,200901,-198499
RYE,2014,-4069,172649,-171276
RYF,2014,1792,229439,-227572
RYG,2014,3378,203958,-196515
RYJ,2014,15405,1007762,-1102312
RYK,2014,888,64750,-63177
RYR,2014,786,403225,-385240
RYV,2014,766,160501,-158731
RYW,2014,2917,257183,-252942
RYX,2014,1836,198409,-196016
RYY,2014,2807,236770,-234030
TAD,2014,1362,133641,-130989
TAE,2014,-310,105973,-105858
TAF,2014,1993,141151,-135766
TAH,2014,2601.1999,131824,-127567.8001
TAJ,2014,392.4235,101901,-100437.9246
R1A,2015,3566,172346,-164871
R1C,2015,-5062,178854,-190573
R1D,2015,1355,78940,-77018
R1E,2015,604,372553,-371675
R1F,2015,-8358,170276,-175153
R1G,2015,-1934,73579,-74714
R1H,2015,-134881,1342594,-1537545
R1J,2015,2501,113905,-109117
R1K,2015,-88245,666125,-743603
RA2,2015,-10492,323748,-329470
RA3,2015,-6965,98462,-104039
RA4,2015,-18605,126671,-144412
RA7,2015,14298,613132,-590114
RA9,2015,-9332,325054,-339688
RAE,2015,-6435,369877,-373017
RAJ,2015,-19486.7817,283365.4861,-295224.0747
RAL,2015,-15266.5009,1003426,-1015413
RAN,2015,-6076,131628,-136855
RAP,2015,-8284,249757,-247420
RAS,2015,-1488,238707,-234592
RAT,2015,-4578,348568,-348844
RAX,2015,-6917.1671,233232,-240936.1671
RBA,2015,-10634,271759,-275768
RBB,2015,0,0,0
RBD,2015,-5516,160008,-163053
RBK,2015,-9790,243525,-249069
RBL,2015,-15356.855,306350.047,-317484.902
RBN,2015,-9551,313287,-323475
RBQ,2015,-1192,123153,-122491
RBS,2015,4490,215986,-250295
RBT,2015,-8102,203862,-213233
RBV,2015,7425,246731,-236740
RBZ,2015,-4647,233235,-236052
RC1,2015,-17940,174407,-190395
RC9,2015,53.352,271306.0841,-268122.8762
RCB,2015,-12417,470985,-477986
RCD,2015,27,188913,-186611
RCF,2015,-998,154999,-156250
RCU,2015,430,171041,-170323
RCX,2015,-13858,171080,-183331
RD1,2015,760,292936,-310515
RD3,2015,-4194,230175,-227890
RD7,2015,0,0,0
RD8,2015,-31512.658,191581,-219303.658
RDD,2015,-25963,305628,-326647
RDE,2015,-38209,270651,-302858
RDR,2015,2186,212698,-211068
RDU,2015,2197,624188,-613264
RDY,2015,-1323,252628,-249931
RDZ,2015,-9477,273390,-280725
RE9,2015,-12197,200899,-212080
REF,2015,-6906,355815,-360575
REM,2015,-12763,312501,-320185
REN,2015,56713.1182,153487.9445,-95928.1977
REP,2015,-7206,102262,-107750
RET,2015,-997.4,110960,-109123.4
RF4,2015,-33719,505239,-541137
RFF,2015,-16243.717,175295.281,-189747.995
RFR,2015,-8833,240989,-247026
RFS,2015,561.6438,222615,-223863.3562
RFW,2015,-6097,69987,-73015
RGD,2015,2972,167321,-160170
RGM,2015,-2354,146191,-151834
RGN,2015,-37019.1037,261030,-284374.1037
RGP,2015,-6526.7005,179348.4502,-197238.8072
RGQ,2015,-22098,266310,-283679
RGR,2015,-9391,210252,-218457
RGT,2015,-77343,704704,-767565
RH5,2015,511.177,168210.653,-173484.587
RH8,2015,-16531,403482,-4.17E+05
RHA,2015,4656,450639,-432271
RHM,2015,-9241,693051,-711440
RHQ,2015,-8366,1006507,-1001235
RHU,2015,-23477,504572,-511073
RHW,2015,-9099,373279,-377074
RJ1,2015,16262.1377,1340329.816,-1346567.678
RJ2,2015,-22867,518947,-529283
RJ6,2015,-34493,255354,-281845
RJ7,2015,-55115,750953,-795002
RJ8,2015,4529,87622,-80669
RJC,2015,244,248739,-245114
RJD,2015,-1128,0,-1128
RJE,2015,-26936,702917,-720991
RJF,2015,-16003.8899,185036,-198988.8015
RJL,2015,-25266,338461,-361190
RJN,2015,-23899,172345,-199605
RJR,2015,-10289,215184,-228459
RJX,2015,-1287,47462,-47298
RJZ,2015,-65394.8175,1067005.183,-1119308
RK5,2015,-55046,296711,-304827
RK9,2015,-35996,432771,-465946
RKB,2015,-9129,585157,-588416
RKE,2015,-14788,294211,-301033
RKL,2015,5069,233089,-219703
RL1,2015,71,96083,-95051
RL4,2015,153,509405,-498394
RLN,2015,-12499.88,343363,-345800.88
RLQ,2015,-20456,178046,-191996
RLT,2015,-15235,133910,-147002
RLU,2015,-3147,97431,-100666
RLY,2015,1297,78588,-75878
RM1,2015,-21933.8211,542224,-534643.8211
RM2,2015,-7366,436934,-433546
RM3,2015,-9622.5044,522038.667,-524274.9216
RMC,2015,1852,292541,-287918
RMP,2015,-22750,165484,-184177
RMY,2015,-8911.0503,211776,-215846.0503
RN3,2015,-9743.6818,310382.018,-306409.6998
RN5,2015,-7242,354756,-356832
RN7,2015,-7649,224593,-220362
RNA,2015,-475,325925,-314974
RNK,2015,461.3,45256,-44544.8
RNL,2015,-62997,234067,-301963
RNN,2015,-8092,172971,-179824
RNQ,2015,-11170,219303,-229558
RNS,2015,-20151,273562,-286116
RNU,2015,-610.6367,297684.3547,-293698.5413
RNZ,2015,-5462,204920,-206002
RP1,2015,-1986,188890,-186431
RP4,2015,20403,444437,-403547
RP5,2015,-36357,360035,-402471
RP6,2015,8904.523,208824.1017,-199407.0396
RP7,2015,309,98138,-95511
RPA,2015,-52740.6,255017,-303354
RPC,2015,767,65682,-63144
RPG,2015,83.7,245510.5,-248181.8
RPY,2015,2663.6163,372737.1225,-368985.1806
RQ3,2015,2191,254149,-252169
RQ6,2015,24543,534415,-506231
RQ8,2015,-39887,288727,-316048
RQM,2015,-7748,523854,-574632
RQQ,2015,-17070,112280,-126762
RQW,2015,-37714,196124,-230275
RQX,2015,-5452.1616,284429.9919,-291446.1535
RQY,2015,3024,162180,-153188
RR1,2015,-46975,683246,-723631
RR7,2015,-5559.86,222508.57,-224330.978
RR8,2015,-30194,1115720,-1120465
RRD,2015,9591,122801,-117133
RRE,2015,9529,177724,-165777
RRF,2015,-4903,272380,-279709
RRJ,2015,-4463,81576,-86376
RRK,2015,-4650,761532,-759217
RRP,2015,-7336,191931,-190657
RRU,2015,-4405,319992,-320087
RRV,2015,-32089.0696,940272.4275,-955566.0873
RT1,2015,-3750,193966,-189913
RT2,2015,80.0711,280007,-287240.9289
RT3,2015,-10861.3121,363852,-369849.3121
RT5,2015,1356,275422,-265834
RTD,2015,2495,991271,-971292
RTE,2015,915.4,499899.8,-484274.4
RTF,2015,9043,505849,-484676
RTG,2015,-25634.144,520602,-522727.144
RTH,2015,9602,965060,-939375
RTK,2015,-635.33,267649.492,-262762.41
RTP,2015,-6531,264879,-264534
RTQ,2015,-515.8,105820,-104091.8
RTR,2015,-10057,565779,-553249
RTV,2015,1135.4,152197,-150763.6
RTX,2015,-39904,287373,-324202
RV3,2015,7925.9973,471548.9445,-460823.4743
RV5,2015,-7569,373106,-403160
RV9,2015,-1303,130541,-133742
RVJ,2015,-51561,543638,-550223
RVN,2015,90,197394,-213185
RVR,2015,-25788,372591,-402159
RVV,2015,-31776.8,537061.2,-563020
RVW,2015,-7554,280622,-280269
RVY,2015,-17202,182236,-195851
RW1,2015,-3594.698,332847.0096,-331597.1319
RW3,2015,-17845,971627,-965703
RW4,2015,5493,213443,-211162
RW5,2015,-2965,343869,-341695
RW6,2015,-19948,591544,-604698
RWA,2015,-8051,526253,-538699
RWD,2015,-56917,423428,-483084
RWE,2015,-34051,866036,-900268
RWF,2015,-23413,400930,-420059
RWG,2015,-41155,299769,-342570
RWH,2015,-16226,384712,-408297
RWJ,2015,-13380,309842,-318705
RWK,2015,9457.8267,356403.6632,-343887.8365
RWN,2015,3869.7639,258376,-251044.4451
RWP,2015,-59831,368981,-426738
RWR,2015,-2,208137,-206923
RWV,2015,2052,139976,-135223
RWW,2015,-17309.8786,219038,-233324.8786
RWX,2015,-1814.6259,237324.5109,-234815.1368
RWY,2015,-20979.4464,352680.7048,-369408.1512
RX1,2015,-47154,870621,-903357
RX2,2015,3410.1257,244361.449,-234422.3123
RX3,2015,13387,312312,-303312
RX4,2015,4130,317150,-299425
RX6,2015,-1765,117583,-118366
RX7,2015,135,282429,-282495
RX8,2015,6103,248965,-241435
RX9,2015,-12245,154089,-163954
RXA,2015,-1992.01,161588.199,-160140.209
RXC,2015,-47997,356152,-396170
RXE,2015,327,162791,-157898
RXF,2015,-20530,482792,-515008
RXG,2015,26,229878,-226722
RXH,2015,-44819,529475,-587501
RXK,2015,3857,443698,-441231
RXL,2015,-14647.957,383577,-396411.957
RXM,2015,1842.287,130949,-126081.713
RXN,2015,-29514,436160,-463692
RXP,2015,-14473,478064,-512958
RXQ,2015,-10867,370225,-376947
RXR,2015,7887,466767,-448756
RXT,2015,-635.0934,244818.2044,-229369.9807
RXV,2015,12095,184528,-158589
RXW,2015,-14649,326477,-351898
RXX,2015,1171,150833,-158783
RXY,2015,-4180,181334,-182220
RY1,2015,-1768,134929,-136554
RY2,2015,-3843.8387,148780,-152137.8387
RY3,2015,2129,129920,-125640
RY4,2015,2419,146266,-142286
RY5,2015,569,105943,-105307
RY6,2015,2985,156367,-153037
RY7,2015,1075,71085,-70037
RY8,2015,-162.1064,175650.4002,-173519.5065
RY9,2015,1919,68489,-66027
RYA,2015,372,227883,-227681
RYC,2015,158,232190,-230864
RYD,2015,264,206397,-203164
RYE,2015,-1194,175061,-177194
RYF,2015,590,232211,-230013
RYG,2015,3873,204038,-195778
RYJ,2015,-47879,1020306,-1038449
RYK,2015,1960,64546,-60705
RYR,2015,-4819.8,417354,-417505.8
RYV,2015,576,110365,-108450
RYW,2015,4790,260853,-256494
RYX,2015,3506,196671,-192300
RYY,2015,3509,234607,-231158
TAD,2015,1222,134798,-133974
TAE,2015,-4155,107664,-111340
TAF,2015,720,138153,-136131
TAH,2015,1062,128685,-127145
TAJ,2015,-1399.0621,102512.7055,-101335.4311
R1A,2016,5089,173526,-178183
R1C,2016,-2084,180675,-182084
R1D,2016,2596,79377,-76303
R1E,2016,-32934,344832,-378417
R1F,2016,-10960,171110,-178423
R1H,2016,-69481,1488833,-1540502
R1J,2016,2309,112624,-107918
R1K,2016,-61098,681059,-756021
RA2,2016,20421,347359,-321965
RA3,2016,-7185,105556,-110988
RA4,2016,-13949,145198,-156720
RA7,2016,17894,638824,-620177
RA9,2016,-9618,402948,-409975
RAE,2016,10526.941,393573,-387542.059
RAJ,2016,-11079.6974,303858.4896,-309746.7958
RAL,2016,-45636,1003963,-1058506
RAN,2016,-6796,140587,-145319
RAP,2016,-10464,276147,-293629
RAS,2016,5892,253002,-267520
RAT,2016,2698.6,356058,-351270.4
RAX,2016,-3562.6,246834.4,-247961
RBA,2016,779,293683,-292194
RBD,2016,-1138,171203,-169575
RBK,2016,-21392,244742,-270848
RBL,2016,-10448.79,324777,-332476.79
RBN,2016,4861,349934,-318230
RBQ,2016,-390,128822,-125428
RBS,2016,4821,222592,-209644
RBT,2016,1541,227328,-223850
RBV,2016,18992,264797,-244225
RBZ,2016,2232,217580,-215057
RC1,2016,-8300,192502,-202655
RC9,2016,12919.4638,309587.6891,-292245.5384
RCB,2016,1904.4,495142,-488153.6
RCD,2016,3529,217782,-211094
RCF,2016,6133,164375,-155646
RCU,2016,2966,182457,-189283
RCX,2016,-18427,182399,-204080
RD1,2016,12541,321519,-312769
RD3,2016,2163,250381,-242219
RD8,2016,-20862.8737,215313,-232481
