YEAR,ORG_CODE,OP_COST,OP_INCOME,FINANCIAL_POSITION
2016,RW1,314428000,321618036,1320036
2016,RJ7,861141000,798090000,-78666000
2016,RWJ,305705400,303102500,-2049500
2016,RXX,148681000,164464553,8725553
2016,RDR,225943000,224283000,46000
2016,RX2,249102423,252335125,-1181181
2016,RMP,222494000,212423000,-13432000
2016,RBA,292194000,293683000,779000
2016,RNK,47818000,50117000,1751000
2016,RX3,318092000,345888000,22406000
2016,TAJ,110714471,101400000,-551872
2016,RBV,244225000,264797000,18992000
2016,REN,102201796,112458102,7854610
2016,RNA,326788000,352142000,11584000
2016,RAS,267520000,253002000,5892000
2016,RTD,1042321000,1052109000,13489000
2016,RL1,97740566,101374000,3261435
2016,RFR,251873376,248322740,-6502723
2016,RDZ,285571334,291227513,1825179
2016,RPY,387234947,370659258,7341468
2016,RRJ,82532000,79451000,-4313000
2016,RET,113619784,120131718,3651364
2016,RA9,409975000,402948000,-9618000
2016,RRV,974486745,1043003179,44606935
2016,RM2,476652000,473711000,3208000
2016,RHM,729926000,761809000,16896000
2016,RRK,765854000,811877000,10002000
2016,RA7,620177000,638824000,17894000
2016,RTX,338476000,324297000,-16201000
2016,RWW,237930000,233322000,-5253000
2016,RYA,237328000,240944000,2895000
2016,RGR,262132000,254481000,-3327000
2016,RYR,425328807,434626500,8840693
2016,RBL,332476790,324777000,-10448790
2016,RRF,295914000,297493000,13567000
2016,RA4,156720000,145198000,-13949000
2016,RCB,488153600,495142000,1904400
2016,RY7,68074971,71315863,2070816
