DATE,YEAR,ORG_CODE,N_TOTAL,N_18_WEEKS,RTT_SCORE
31/03/2019,2018,RY8,3089,2924,0.946584655
31/03/2019,2018,RYG,492,488,0.991869919
31/03/2019,2018,RYK,155,154,0.993548387
31/03/2019,2018,RYV,1741,1731,0.994256175
31/03/2019,2018,RYW,11454,10832,0.945695827
31/03/2019,2018,TAJ,197,187,0.949238579
31/03/2019,2018,R1H,89561,76499,0.854155268
31/03/2019,2018,R1K,54184,45201,0.834213052
31/03/2019,2018,RAN,5896,5214,0.884328358
31/03/2019,2018,RAP,11313,10640,0.940510917
31/03/2019,2018,RAS,23435,20732,0.884659697
31/03/2019,2018,RAT,629,627,0.99682035
31/03/2019,2018,RAX,19637,18255,0.929622651
31/03/2019,2018,RF4,39272,32246,0.821093909
31/03/2019,2018,RJ1,76194,65650,0.8616164
31/03/2019,2018,RJ2,38859,33114,0.852157801
31/03/2019,2018,RJ6,21084,19442,0.92212104
31/03/2019,2018,RJ7,39658,34147,0.861036865
31/03/2019,2018,RJZ,77709,59795,0.769473291
31/03/2019,2018,RKE,17946,16546,0.921988187
31/03/2019,2018,RP4,6972,6431,0.922403901
31/03/2019,2018,RP6,28059,26264,0.936027656
31/03/2019,2018,RPG,727,714,0.982118294
31/03/2019,2018,RPY,2713,2645,0.974935496
31/03/2019,2018,RQM,39013,36258,0.929382514
31/03/2019,2018,RQX,19514,18651,0.955775341
31/03/2019,2018,RQY,3811,3538,0.928365258
31/03/2019,2018,RRV,43252,37812,0.874225469
31/03/2019,2018,RT3,5412,5038,0.930894309
31/03/2019,2018,RV3,490,490,1
31/03/2019,2018,RVR,29117,25458,0.874334581
31/03/2019,2018,RY9,171,171,1
31/03/2019,2018,RYJ,61315,51744,0.843904428
31/03/2019,2018,RYX,2393,2213,0.92478061
31/03/2019,2018,RA3,5095,4644,0.911481845
31/03/2019,2018,RA4,9800,8872,0.905306122
31/03/2019,2018,RA7,28481,25400,0.891822619
31/03/2019,2018,RA9,19425,15783,0.812509653
31/03/2019,2018,RBA,23526,17672,0.751168919
31/03/2019,2018,RBD,14530,11059,0.761114935
31/03/2019,2018,RBZ,11520,9123,0.791927083
31/03/2019,2018,RD1,21171,18301,0.864437202
31/03/2019,2018,RD3,14608,12006,0.821878423
31/03/2019,2018,RDY,890,853,0.958426966
31/03/2019,2018,RDZ,26400,22334,0.845984848
31/03/2019,2018,REF,25255,21451,0.849376361
31/03/2019,2018,RH5,1233,1229,0.99675588
31/03/2019,2018,RH8,34262,28062,0.819041504
31/03/2019,2018,RJ8,761,663,0.871222076
31/03/2019,2018,RK9,27922,21570,0.772509133
31/03/2019,2018,RN3,21550,17982,0.834431555
31/03/2019,2018,RNZ,16941,15767,0.930700667
31/03/2019,2018,RTE,56533,45081,0.797428051
31/03/2019,2018,RVJ,27910,24202,0.867144393
31/03/2019,2018,R1C,506,506,1
31/03/2019,2018,R1F,10307,7961,0.772387698
31/03/2019,2018,RA2,22490,19966,0.887772343
31/03/2019,2018,RDR,4700,4578,0.974042553
31/03/2019,2018,RDU,35338,32014,0.905936952
31/03/2019,2018,RHM,30633,26572,0.867430549
31/03/2019,2018,RHU,33052,26823,0.811539392
31/03/2019,2018,RHW,28831,26610,0.922964864
31/03/2019,2018,RN5,37497,33047,0.881323839
31/03/2019,2018,RN7,13944,12832,0.920252438
31/03/2019,2018,RPA,22377,18070,0.807525584
31/03/2019,2018,RPC,12596,9887,0.784931724
31/03/2019,2018,RTH,49578,41059,0.828169753
31/03/2019,2018,RTK,25687,23495,0.914665006
31/03/2019,2018,RTP,23552,21346,0.906334918
31/03/2019,2018,RVV,48684,38963,0.800324542
31/03/2019,2018,RW1,4441,4147,0.933798694
31/03/2019,2018,RWF,28407,23612,0.831203577
31/03/2019,2018,RWX,193,193,1
31/03/2019,2018,RXC,27099,24725,0.912395291
31/03/2019,2018,RXH,43361,30845,0.71135352
31/03/2019,2018,RXQ,29220,25939,0.887713895
31/03/2019,2018,RYR,36591,30506,0.833702277
31/03/2019,2018,RYY,6490,6258,0.964252696
31/03/2018,2017,R0A,72107,64815,0.898872509
31/03/2018,2017,RAE,33784,24978,0.739344068
31/03/2018,2017,RBL,24736,18075,0.730716365
31/03/2018,2017,RBN,20246,19034,0.940136323
31/03/2018,2017,RBQ,2072,1908,0.920849421
31/03/2018,2017,RBS,12905,11888,0.921193336
31/03/2018,2017,RBT,13991,12963,0.926524194
31/03/2018,2017,RBV,1314,1296,0.98630137
31/03/2018,2017,RCB,26263,21864,0.832501999
31/03/2018,2017,RCD,13890,12535,0.902447804
31/03/2018,2017,RCF,7581,6992,0.922305764
31/03/2018,2017,RCU,7998,7439,0.930107527
31/03/2018,2017,RE9,3841,3671,0.955740693
31/03/2018,2017,REM,17252,15538,0.9006492
31/03/2018,2017,REN,492,470,0.955284553
31/03/2018,2017,REP,4360,3814,0.874770642
31/03/2018,2017,RET,8171,7696,0.94186758
31/03/2018,2017,RFF,12068,11128,0.922108054
31/03/2018,2017,RFR,12360,11525,0.932443366
31/03/2018,2017,RHQ,41326,39179,0.948047234
31/03/2018,2017,RJL,29359,19447,0.662386321
31/03/2018,2017,RJN,7544,6468,0.857370095
31/03/2018,2017,RJR,16203,14378,0.887366537
31/03/2018,2017,RLN,26640,24777,0.930067568
31/03/2018,2017,RM3,39417,36276,0.92031357
31/03/2018,2017,RMC,22812,20148,0.883219358
31/03/2018,2017,RMP,12939,11905,0.92008656
31/03/2018,2017,RNL,21737,18304,0.842066523
31/03/2018,2017,RNN,1343,1220,0.908413999
31/03/2018,2017,RP5,31421,27984,0.890614557
31/03/2018,2017,RQ6,28029,22905,0.81718934
31/03/2018,2017,RR7,7998,7444,0.930732683
31/03/2018,2017,RR8,52051,45631,0.87665943
31/03/2018,2017,RRF,17943,16846,0.938861952
31/03/2018,2017,RTD,61834,57907,0.936491251
31/03/2018,2017,RTF,19906,18342,0.921430724
31/03/2018,2017,RTR,32160,28817,0.896050995
31/03/2018,2017,RTX,20352,17248,0.847484277
31/03/2018,2017,RV9,146,141,0.965753425
31/03/2018,2017,RVW,11151,10350,0.928167877
31/03/2018,2017,RVY,9255,8649,0.93452188
31/03/2018,2017,RW5,255,253,0.992156863
31/03/2018,2017,RW6,38308,33149,0.865328391
31/03/2018,2017,RWA,54627,43615,0.798414703
31/03/2018,2017,RWJ,22345,19717,0.882389796
31/03/2018,2017,RWW,18827,17387,0.923514102
31/03/2018,2017,RWY,30971,29035,0.93748991
31/03/2018,2017,RX4,233,232,0.995708155
31/03/2018,2017,RXF,31059,26416,0.850510319
31/03/2018,2017,RXG,872,850,0.974770642
31/03/2018,2017,RXL,19001,15286,0.804483975
31/03/2018,2017,RXN,31105,25301,0.813406205
31/03/2018,2017,RXP,20124,18523,0.920443252
31/03/2018,2017,RXR,24124,22226,0.921323164
31/03/2018,2017,RY2,1027,1020,0.993184031
31/03/2018,2017,RY6,1422,1388,0.976090014
31/03/2018,2017,RY7,21,21,1
31/03/2018,2017,R1A,588,566,0.962585034
31/03/2018,2017,R1D,4797,4383,0.91369606
31/03/2018,2017,R1E,3648,3578,0.980811404
31/03/2018,2017,R1L,300,292,0.973333333
31/03/2018,2017,RAJ,26809,22716,0.84732739
31/03/2018,2017,RBK,14688,12448,0.847494553
31/03/2018,2017,RC1,14222,12447,0.875193362
31/03/2018,2017,RC9,22291,20064,0.900094208
31/03/2018,2017,RCX,13694,11101,0.810646999
31/03/2018,2017,RD8,13508,11428,0.846017175
31/03/2018,2017,RDD,24806,19961,0.804684351
31/03/2018,2017,RDE,20042,16964,0.846422513
31/03/2018,2017,RFS,14908,13656,0.916018245
31/03/2018,2017,RGM,3717,3093,0.83212268
31/03/2018,2017,RGN,34466,30546,0.886264725
31/03/2018,2017,RGP,12968,11098,0.85579889
31/03/2018,2017,RGQ,20102,18034,0.897124664
31/03/2018,2017,RGR,15395,13781,0.895160766
31/03/2018,2017,RGT,32991,29317,0.888636295
31/03/2018,2017,RJC,16234,14823,0.913083652
31/03/2018,2017,RJE,49198,35293,0.71736656
31/03/2018,2017,RJF,16831,15504,0.921157388
31/03/2018,2017,RK5,24196,21482,0.8878327
31/03/2018,2017,RKB,30268,24903,0.822750099
31/03/2018,2017,RL1,6013,5415,0.900548811
31/03/2018,2017,RL4,33773,30438,0.90125248
31/03/2018,2017,RLQ,15424,11594,0.751685685
31/03/2018,2017,RLT,11351,9299,0.819222976
31/03/2018,2017,RM1,37879,31486,0.831225745
